"INDICATOR","HFAMDB_87"

"HFAMDB_87","Alcohol abuse (including alcoholic psychosis), number of deaths, by sex"

"UNIT_TYPE","Unit"
"NUM_DTH","number of deaths"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFAMDB","European mortality database (MDB)"

"DATA_TYPE_REPRESENTATION","Data type representation"
"COUNT","Count"

"DATA_SET","Data set"
"HFAMDB","European mortality database (MDB)"

"DATA_MASK","Mask for controlling the output format of values"

"AGE_GRP_LIST","Age group"
"TOTAL","Total"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","AGE_GRP_LIST","SEX","YEAR","VALUE"
"ALB","","TOTAL","FEMALE","1987","0"
"ALB","","TOTAL","FEMALE","1988","0"
"ALB","","TOTAL","FEMALE","1989","0"
"ALB","","TOTAL","FEMALE","1992","0"
"ALB","","TOTAL","FEMALE","1993","0"
"ALB","","TOTAL","FEMALE","1994","0"
"ALB","","TOTAL","FEMALE","1995","1"
"ALB","","TOTAL","FEMALE","1996","0"
"ALB","","TOTAL","FEMALE","1997","0"
"ALB","","TOTAL","FEMALE","1998","0"
"ALB","","TOTAL","FEMALE","1999","0"
"ALB","","TOTAL","FEMALE","2000","0"
"ALB","","TOTAL","FEMALE","2001","4"
"ALB","","TOTAL","FEMALE","2002","2"
"ALB","","TOTAL","FEMALE","2003","1"
"ALB","","TOTAL","FEMALE","2004","1"
"ALB","","TOTAL","FEMALE","2005","2"
"ALB","","TOTAL","FEMALE","2006","2"
"ALB","","TOTAL","FEMALE","2007","0"
"ALB","","TOTAL","FEMALE","2008","0"
"ALB","","TOTAL","FEMALE","2009","1"
"ARM","","TOTAL","FEMALE","1991","1"
"ARM","","TOTAL","FEMALE","1992","0"
"ARM","","TOTAL","FEMALE","1993","0"
"ARM","","TOTAL","FEMALE","1994","2"
"ARM","","TOTAL","FEMALE","1995","0"
"ARM","","TOTAL","FEMALE","1996","0"
"ARM","","TOTAL","FEMALE","1997","0"
"ARM","","TOTAL","FEMALE","1998","0"
"ARM","","TOTAL","FEMALE","1999","1"
"ARM","","TOTAL","FEMALE","2000","0"
"ARM","","TOTAL","FEMALE","2001","0"
"ARM","","TOTAL","FEMALE","2002","0"
"ARM","","TOTAL","FEMALE","2003","1"
"ARM","","TOTAL","FEMALE","2012","0"
"ARM","","TOTAL","FEMALE","2014","0"
"ARM","","TOTAL","FEMALE","2017","1"
"ARM","","TOTAL","FEMALE","2018","1"
"AUT","","TOTAL","FEMALE","1980","18"
"AUT","","TOTAL","FEMALE","1981","14"
"AUT","","TOTAL","FEMALE","1982","22"
"AUT","","TOTAL","FEMALE","1983","26"
"AUT","","TOTAL","FEMALE","1984","25"
"AUT","","TOTAL","FEMALE","1985","26"
"AUT","","TOTAL","FEMALE","1986","29"
"AUT","","TOTAL","FEMALE","1987","27"
"AUT","","TOTAL","FEMALE","1988","33"
"AUT","","TOTAL","FEMALE","1989","36"
"AUT","","TOTAL","FEMALE","1990","45"
"AUT","","TOTAL","FEMALE","1991","43"
"AUT","","TOTAL","FEMALE","1992","40"
"AUT","","TOTAL","FEMALE","1993","43"
"AUT","","TOTAL","FEMALE","1994","37"
"AUT","","TOTAL","FEMALE","1995","44"
"AUT","","TOTAL","FEMALE","1996","50"
"AUT","","TOTAL","FEMALE","1997","51"
"AUT","","TOTAL","FEMALE","1998","51"
"AUT","","TOTAL","FEMALE","1999","58"
"AUT","","TOTAL","FEMALE","2000","56"
"AUT","","TOTAL","FEMALE","2001","63"
"AUT","","TOTAL","FEMALE","2002","42"
"AUT","","TOTAL","FEMALE","2003","63"
"AUT","","TOTAL","FEMALE","2004","58"
"AUT","","TOTAL","FEMALE","2005","64"
"AUT","","TOTAL","FEMALE","2006","62"
"AUT","","TOTAL","FEMALE","2007","71"
"AUT","","TOTAL","FEMALE","2008","88"
"AUT","","TOTAL","FEMALE","2009","79"
"AUT","","TOTAL","FEMALE","2010","81"
"AUT","","TOTAL","FEMALE","2011","85"
"AUT","","TOTAL","FEMALE","2012","75"
"AUT","","TOTAL","FEMALE","2013","82"
"AUT","","TOTAL","FEMALE","2014","96"
"AUT","","TOTAL","FEMALE","2015","97"
"AUT","","TOTAL","FEMALE","2016","86"
"AUT","","TOTAL","FEMALE","2017","104"
"AUT","","TOTAL","FEMALE","2018","122"
"AUT","","TOTAL","FEMALE","2019","104"
"AUT","","TOTAL","FEMALE","2020","107"
"AZE","","TOTAL","FEMALE","1991","1"
"AZE","","TOTAL","FEMALE","1992","1"
"AZE","","TOTAL","FEMALE","1993","3"
"AZE","","TOTAL","FEMALE","1994","3"
"AZE","","TOTAL","FEMALE","1995","20"
"AZE","","TOTAL","FEMALE","1996","3"
"AZE","","TOTAL","FEMALE","1997","9"
"AZE","","TOTAL","FEMALE","1998","4"
"AZE","","TOTAL","FEMALE","1999","1"
"AZE","","TOTAL","FEMALE","2000","1"
"AZE","","TOTAL","FEMALE","2007","1"
"BEL","","TOTAL","FEMALE","1979","49"
"BEL","","TOTAL","FEMALE","1980","63"
"BEL","","TOTAL","FEMALE","1981","43"
"BEL","","TOTAL","FEMALE","1982","64"
"BEL","","TOTAL","FEMALE","1983","54"
"BEL","","TOTAL","FEMALE","1984","51"
"BEL","","TOTAL","FEMALE","1985","45"
"BEL","","TOTAL","FEMALE","1986","62"
"BEL","","TOTAL","FEMALE","1987","46"
"BEL","","TOTAL","FEMALE","1988","53"
"BEL","","TOTAL","FEMALE","1989","63"
"BEL","","TOTAL","FEMALE","1990","52"
"BEL","","TOTAL","FEMALE","1991","49"
"BEL","","TOTAL","FEMALE","1992","50"
"BEL","","TOTAL","FEMALE","1993","48"
"BEL","","TOTAL","FEMALE","1994","65"
"BEL","","TOTAL","FEMALE","1995","36"
"BEL","","TOTAL","FEMALE","1996","47"
"BEL","","TOTAL","FEMALE","1997","40"
"BEL","","TOTAL","FEMALE","1998","71"
"BEL","","TOTAL","FEMALE","1999","63"
"BEL","","TOTAL","FEMALE","2000","85"
"BEL","","TOTAL","FEMALE","2001","69"
"BEL","","TOTAL","FEMALE","2002","74"
"BEL","","TOTAL","FEMALE","2003","72"
"BEL","","TOTAL","FEMALE","2004","85"
"BEL","","TOTAL","FEMALE","2005","95"
"BEL","","TOTAL","FEMALE","2006","71"
"BEL","","TOTAL","FEMALE","2007","82"
"BEL","","TOTAL","FEMALE","2008","81"
"BEL","","TOTAL","FEMALE","2009","107"
"BEL","","TOTAL","FEMALE","2010","99"
"BEL","","TOTAL","FEMALE","2011","82"
"BEL","","TOTAL","FEMALE","2012","116"
"BEL","","TOTAL","FEMALE","2013","113"
"BEL","","TOTAL","FEMALE","2014","98"
"BEL","","TOTAL","FEMALE","2015","117"
"BEL","","TOTAL","FEMALE","2016","98"
"BEL","","TOTAL","FEMALE","2017","112"
"BEL","","TOTAL","FEMALE","2018","86"
"BGR","","TOTAL","FEMALE","1980","3"
"BGR","","TOTAL","FEMALE","1981","1"
"BGR","","TOTAL","FEMALE","1982","5"
"BGR","","TOTAL","FEMALE","1983","4"
"BGR","","TOTAL","FEMALE","1984","3"
"BGR","","TOTAL","FEMALE","1985","6"
"BGR","","TOTAL","FEMALE","1986","3"
"BGR","","TOTAL","FEMALE","1987","3"
"BGR","","TOTAL","FEMALE","1988","3"
"BGR","","TOTAL","FEMALE","1989","5"
"BGR","","TOTAL","FEMALE","1990","8"
"BGR","","TOTAL","FEMALE","1991","4"
"BGR","","TOTAL","FEMALE","1992","4"
"BGR","","TOTAL","FEMALE","1993","5"
"BGR","","TOTAL","FEMALE","1994","8"
"BGR","","TOTAL","FEMALE","1995","9"
"BGR","","TOTAL","FEMALE","1996","0"
"BGR","","TOTAL","FEMALE","1997","7"
"BGR","","TOTAL","FEMALE","1998","4"
"BGR","","TOTAL","FEMALE","1999","6"
"BGR","","TOTAL","FEMALE","2000","6"
"BGR","","TOTAL","FEMALE","2001","3"
"BGR","","TOTAL","FEMALE","2002","2"
"BGR","","TOTAL","FEMALE","2003","4"
"BGR","","TOTAL","FEMALE","2004","3"
"BGR","","TOTAL","FEMALE","2005","5"
"BGR","","TOTAL","FEMALE","2006","2"
"BGR","","TOTAL","FEMALE","2007","2"
"BGR","","TOTAL","FEMALE","2008","5"
"BGR","","TOTAL","FEMALE","2009","3"
"BGR","","TOTAL","FEMALE","2010","1"
"BGR","","TOTAL","FEMALE","2011","1"
"BGR","","TOTAL","FEMALE","2012","2"
"BGR","","TOTAL","FEMALE","2013","0"
"BGR","","TOTAL","FEMALE","2014","1"
