"INDICATOR","HFAMDB_99"

"HFAMDB_99","All causes, 0 year, per 100 000 population, by sex (crude death rate)"

"UNIT_TYPE","Unit"
"DTH_100K","deaths per 100 000"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFAMDB","European mortality database (MDB)"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATE","Rate"

"DATA_SET","Data set"
"HFAMDB","European mortality database (MDB)"

"DATA_MASK","Mask for controlling the output format of values"

"AGE_GRP_LIST","Age group"
"0","0 year"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","AGE_GRP_LIST","SEX","YEAR","VALUE"
"ALB","","0","FEMALE","1987","2953"
"ALB","","0","FEMALE","1988","2680.31"
"ALB","","0","FEMALE","1989","2752.53"
"ALB","","0","FEMALE","1992","3262.39"
"ALB","","0","FEMALE","1993","3519.11"
"ALB","","0","FEMALE","1994","2477.48"
"ALB","","0","FEMALE","1995","2204.82"
"ALB","","0","FEMALE","1996","2257.73"
"ALB","","0","FEMALE","1997","1469.8"
"ALB","","0","FEMALE","1998","1347.83"
"ALB","","0","FEMALE","1999","916.94"
"ALB","","0","FEMALE","2000","951.31"
"ALB","","0","FEMALE","2001","998.8"
"ALB","","0","FEMALE","2002","884.25"
"ALB","","0","FEMALE","2003","803.3"
"ALB","","0","FEMALE","2004","662.08"
"ALB","","0","FEMALE","2005","735.06"
"ALB","","0","FEMALE","2006","707.56"
"ALB","","0","FEMALE","2007","432.93"
"ALB","","0","FEMALE","2008","519.17"
"ALB","","0","FEMALE","2009","524.44"
"ARM","","0","FEMALE","1981","2223.19"
"ARM","","0","FEMALE","1982","2273.24"
"ARM","","0","FEMALE","1985","2440.72"
"ARM","","0","FEMALE","1986","2276.92"
"ARM","","0","FEMALE","1987","2154.45"
"ARM","","0","FEMALE","1988","2355.01"
"ARM","","0","FEMALE","1989","1751.38"
"ARM","","0","FEMALE","1990","1703"
"ARM","","0","FEMALE","1991","1707.12"
"ARM","","0","FEMALE","1992","1582.63"
"ARM","","0","FEMALE","1993","1525.81"
"ARM","","0","FEMALE","1994","1229.89"
"ARM","","0","FEMALE","1995","1245.76"
"ARM","","0","FEMALE","1996","1348.02"
"ARM","","0","FEMALE","1997","1285.05"
"ARM","","0","FEMALE","1998","1208.33"
"ARM","","0","FEMALE","1999","1323.7"
"ARM","","0","FEMALE","2000","1246.75"
"ARM","","0","FEMALE","2001","1224.46"
"ARM","","0","FEMALE","2002","1163.36"
"ARM","","0","FEMALE","2003","1065.06"
"ARM","","0","FEMALE","2006","1207.55"
"ARM","","0","FEMALE","2007","918.35"
"ARM","","0","FEMALE","2008","944.91"
"ARM","","0","FEMALE","2009","991.1"
"ARM","","0","FEMALE","2012","983.96"
"ARM","","0","FEMALE","2013","849.22"
"ARM","","0","FEMALE","2014","824.78"
"ARM","","0","FEMALE","2015","812.31"
"ARM","","0","FEMALE","2016","721.67"
"ARM","","0","FEMALE","2017","742.87"
"ARM","","0","FEMALE","2018","672.82"
"ARM","","0","FEMALE","2019","525.33"
"AUT","","0","FEMALE","1969","2147.21"
"AUT","","0","FEMALE","1970","2175.63"
"AUT","","0","FEMALE","1971","2230.33"
"AUT","","0","FEMALE","1972","2203.56"
"AUT","","0","FEMALE","1973","1985.48"
"AUT","","0","FEMALE","1974","1989.29"
"AUT","","0","FEMALE","1975","1739.7"
"AUT","","0","FEMALE","1976","1567.51"
"AUT","","0","FEMALE","1977","1474.94"
"AUT","","0","FEMALE","1978","1267.47"
"AUT","","0","FEMALE","1979","1342.11"
"AUT","","0","FEMALE","1980","1251.16"
"AUT","","0","FEMALE","1981","1070.48"
"AUT","","0","FEMALE","1982","1054.92"
"AUT","","0","FEMALE","1983","991.11"
"AUT","","0","FEMALE","1984","1011.42"
"AUT","","0","FEMALE","1985","900.63"
"AUT","","0","FEMALE","1986","863.25"
"AUT","","0","FEMALE","1987","888.92"
"AUT","","0","FEMALE","1988","755.86"
"AUT","","0","FEMALE","1989","751.98"
"AUT","","0","FEMALE","1990","718.54"
"AUT","","0","FEMALE","1991","669.57"
"AUT","","0","FEMALE","1992","651.27"
"AUT","","0","FEMALE","1993","564.1"
"AUT","","0","FEMALE","1994","554.75"
"AUT","","0","FEMALE","1995","482.29"
"AUT","","0","FEMALE","1996","481.17"
"AUT","","0","FEMALE","1997","461.58"
"AUT","","0","FEMALE","1998","436.94"
"AUT","","0","FEMALE","1999","422.65"
"AUT","","0","FEMALE","2000","422.87"
"AUT","","0","FEMALE","2001","364.3"
"AUT","","0","FEMALE","2002","349.11"
"AUT","","0","FEMALE","2003","401.93"
"AUT","","0","FEMALE","2004","434.49"
"AUT","","0","FEMALE","2005","397.35"
"AUT","","0","FEMALE","2006","310.53"
"AUT","","0","FEMALE","2007","323.67"
"AUT","","0","FEMALE","2008","300.15"
"AUT","","0","FEMALE","2009","353.09"
"AUT","","0","FEMALE","2010","352.86"
"AUT","","0","FEMALE","2011","276.05"
"AUT","","0","FEMALE","2012","327.56"
"AUT","","0","FEMALE","2013","267.93"
"AUT","","0","FEMALE","2014","307.96"
"AUT","","0","FEMALE","2015","289.37"
"AUT","","0","FEMALE","2016","284.46"
"AUT","","0","FEMALE","2017","284.29"
"AUT","","0","FEMALE","2018","237.34"
"AUT","","0","FEMALE","2019","257.37"
"AZE","","0","FEMALE","1981","3246.74"
"AZE","","0","FEMALE","1982","2945.81"
"AZE","","0","FEMALE","1985","2681.4"
"AZE","","0","FEMALE","1986","2938.57"
"AZE","","0","FEMALE","1987","2718.86"
"AZE","","0","FEMALE","1988","2525.4"
"AZE","","0","FEMALE","1989","2438.94"
"AZE","","0","FEMALE","1990","2079.82"
"AZE","","0","FEMALE","1991","2305.92"
"AZE","","0","FEMALE","1992","2316.78"
"AZE","","0","FEMALE","1993","2591.72"
"AZE","","0","FEMALE","1994","2376.28"
"AZE","","0","FEMALE","1995","2125"
"AZE","","0","FEMALE","1996","1786.03"
"AZE","","0","FEMALE","1997","1677.99"
"AZE","","0","FEMALE","1998","1221.6"
"AZE","","0","FEMALE","1999","1192.79"
"AZE","","0","FEMALE","2000","1200.73"
"AZE","","0","FEMALE","2001","1164.29"
"AZE","","0","FEMALE","2002","1234.54"
"AZE","","0","FEMALE","2003","1164.73"
"AZE","","0","FEMALE","2004","1226.95"
"AZE","","0","FEMALE","2007","870.94"
"BEL","","0","FEMALE","1968","1854.47"
"BEL","","0","FEMALE","1969","1761.35"
"BEL","","0","FEMALE","1970","1821.8"
"BEL","","0","FEMALE","1971","1751.85"
"BEL","","0","FEMALE","1972","1658.61"
"BEL","","0","FEMALE","1973","1548.59"
"BEL","","0","FEMALE","1974","1429.03"
"BEL","","0","FEMALE","1975","1390.41"
"BEL","","0","FEMALE","1976","1335.06"
"BEL","","0","FEMALE","1977","1183.22"
"BEL","","0","FEMALE","1978","1124.36"
"BEL","","0","FEMALE","1979","1132.43"
"BEL","","0","FEMALE","1980","1088.14"
"BEL","","0","FEMALE","1981","928.09"
"BEL","","0","FEMALE","1982","952.46"
"BEL","","0","FEMALE","1983","878.22"
"BEL","","0","FEMALE","1984","771.87"
"BEL","","0","FEMALE","1985","857.4"
"BEL","","0","FEMALE","1986","796.43"
"BEL","","0","FEMALE","1987","829.48"
"BEL","","0","FEMALE","1988","811.19"
"BEL","","0","FEMALE","1989","696.4"
"BEL","","0","FEMALE","1990","681.21"
"BEL","","0","FEMALE","1991","736.84"
"BEL","","0","FEMALE","1992","711.48"
"BEL","","0","FEMALE","1993","644.89"
"BEL","","0","FEMALE","1994","643.98"
"BEL","","0","FEMALE","1995","467.86"
"BEL","","0","FEMALE","1996","452.82"
"BEL","","0","FEMALE","1997","509.95"
"BEL","","0","FEMALE","1998","470.29"
"BEL","","0","FEMALE","1999","423.93"
"BEL","","0","FEMALE","2000","459.8"
"BEL","","0","FEMALE","2001","400.25"
"BEL","","0","FEMALE","2002","371.96"
"BEL","","0","FEMALE","2003","382.86"
"BEL","","0","FEMALE","2004","375.64"
"BEL","","0","FEMALE","2005","361.52"
"BEL","","0","FEMALE","2006","385.49"
"BEL","","0","FEMALE","2007","355.28"
"BEL","","0","FEMALE","2008","349.34"
"BEL","","0","FEMALE","2009","309.15"
"BEL","","0","FEMALE","2010","305.29"
"BEL","","0","FEMALE","2011","315.57"
"BEL","","0","FEMALE","2012","314.67"
"BEL","","0","FEMALE","2013","304.52"
"BEL","","0","FEMALE","2014","288.03"
"BEL","","0","FEMALE","2015","289.86"
"BEL","","0","FEMALE","2016","233.42"
"BGR","","0","FEMALE","1968","2751.97"
"BGR","","0","FEMALE","1969","2687.32"
"BGR","","0","FEMALE","1970","2308.96"
"BGR","","0","FEMALE","1971","2269.47"
"BGR","","0","FEMALE","1972","2357.49"
"BGR","","0","FEMALE","1973","2281.2"
"BGR","","0","FEMALE","1974","2308.45"
"BGR","","0","FEMALE","1975","2058.31"
"BGR","","0","FEMALE","1976","2007.24"
"BGR","","0","FEMALE","1977","2069.97"
"BGR","","0","FEMALE","1978","2006.14"
"BGR","","0","FEMALE","1979","1713.41"
"BGR","","0","FEMALE","1980","1708.13"
"BGR","","0","FEMALE","1981","1663.89"
"BGR","","0","FEMALE","1982","1603.71"
"BGR","","0","FEMALE","1983","1502.59"
