"INDICATOR","HFAMDB_98"

"HFAMDB_98","All causes, number of deaths, by sex"

"UNIT_TYPE","Unit"
"NUM_DTH","number of deaths"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFAMDB","European mortality database (MDB)"

"DATA_TYPE_REPRESENTATION","Data type representation"
"COUNT","Count"

"DATA_SET","Data set"
"HFAMDB","European mortality database (MDB)"

"DATA_MASK","Mask for controlling the output format of values"

"AGE_GRP_LIST","Age group"
"TOTAL","Total"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","AGE_GRP_LIST","SEX","YEAR","VALUE"
"ALB","","TOTAL","FEMALE","1987","7690"
"ALB","","TOTAL","FEMALE","1988","7608"
"ALB","","TOTAL","FEMALE","1989","7965"
"ALB","","TOTAL","FEMALE","1992","7297"
"ALB","","TOTAL","FEMALE","1993","7010"
"ALB","","TOTAL","FEMALE","1994","6162"
"ALB","","TOTAL","FEMALE","1995","6747"
"ALB","","TOTAL","FEMALE","1996","6929"
"ALB","","TOTAL","FEMALE","1997","6301"
"ALB","","TOTAL","FEMALE","1998","6820"
"ALB","","TOTAL","FEMALE","1999","6413"
"ALB","","TOTAL","FEMALE","2000","6918"
"ALB","","TOTAL","FEMALE","2001","6427"
"ALB","","TOTAL","FEMALE","2002","7125"
"ALB","","TOTAL","FEMALE","2003","7953"
"ALB","","TOTAL","FEMALE","2004","7799"
"ALB","","TOTAL","FEMALE","2005","7733"
"ALB","","TOTAL","FEMALE","2006","7718"
"ALB","","TOTAL","FEMALE","2007","6448"
"ALB","","TOTAL","FEMALE","2008","7120"
"ALB","","TOTAL","FEMALE","2009","7137"
"AND","","TOTAL","FEMALE","2011","119"
"AND","","TOTAL","FEMALE","2012","135"
"AND","","TOTAL","FEMALE","2013","107"
"AND","","TOTAL","FEMALE","2014","108"
"AND","","TOTAL","FEMALE","2015","132"
"AND","","TOTAL","FEMALE","2016","136"
"AND","","TOTAL","FEMALE","2017","155"
"AND","","TOTAL","FEMALE","2018","157"
"AND","","TOTAL","FEMALE","2019","141"
"AND","","TOTAL","FEMALE","2020","164"
"ARM","","TOTAL","FEMALE","1981","7738"
"ARM","","TOTAL","FEMALE","1982","8225"
"ARM","","TOTAL","FEMALE","1985","9604"
"ARM","","TOTAL","FEMALE","1986","9436"
"ARM","","TOTAL","FEMALE","1987","9638"
"ARM","","TOTAL","FEMALE","1988","18973"
"ARM","","TOTAL","FEMALE","1989","9906"
"ARM","","TOTAL","FEMALE","1990","10079"
"ARM","","TOTAL","FEMALE","1991","10866"
"ARM","","TOTAL","FEMALE","1992","11951"
"ARM","","TOTAL","FEMALE","1993","12775"
"ARM","","TOTAL","FEMALE","1994","11047"
"ARM","","TOTAL","FEMALE","1995","11545"
"ARM","","TOTAL","FEMALE","1996","11735"
"ARM","","TOTAL","FEMALE","1997","11381"
"ARM","","TOTAL","FEMALE","1998","11162"
"ARM","","TOTAL","FEMALE","1999","11752"
"ARM","","TOTAL","FEMALE","2000","11748"
"ARM","","TOTAL","FEMALE","2001","11535"
"ARM","","TOTAL","FEMALE","2002","12461"
"ARM","","TOTAL","FEMALE","2003","12636"
"ARM","","TOTAL","FEMALE","2006","13077"
"ARM","","TOTAL","FEMALE","2007","12914"
"ARM","","TOTAL","FEMALE","2008","13098"
"ARM","","TOTAL","FEMALE","2009","13307"
"ARM","","TOTAL","FEMALE","2010","13328"
"ARM","","TOTAL","FEMALE","2011","13345"
"ARM","","TOTAL","FEMALE","2012","13332"
"ARM","","TOTAL","FEMALE","2013","13367"
"ARM","","TOTAL","FEMALE","2014","13495"
"ARM","","TOTAL","FEMALE","2015","13576"
"ARM","","TOTAL","FEMALE","2016","13690"
"ARM","","TOTAL","FEMALE","2017","13286"
"ARM","","TOTAL","FEMALE","2018","12730"
"ARM","","TOTAL","FEMALE","2019","12802"
"AUT","","TOTAL","FEMALE","1969","49627"
"AUT","","TOTAL","FEMALE","1970","49737"
"AUT","","TOTAL","FEMALE","1971","49462"
"AUT","","TOTAL","FEMALE","1972","48306"
"AUT","","TOTAL","FEMALE","1973","47149"
"AUT","","TOTAL","FEMALE","1974","47983"
"AUT","","TOTAL","FEMALE","1975","49220"
"AUT","","TOTAL","FEMALE","1976","49330"
"AUT","","TOTAL","FEMALE","1977","47880"
"AUT","","TOTAL","FEMALE","1978","48982"
"AUT","","TOTAL","FEMALE","1979","47599"
"AUT","","TOTAL","FEMALE","1980","48303"
"AUT","","TOTAL","FEMALE","1981","48458"
"AUT","","TOTAL","FEMALE","1982","47854"
"AUT","","TOTAL","FEMALE","1983","49096"
"AUT","","TOTAL","FEMALE","1984","46477"
"AUT","","TOTAL","FEMALE","1985","47705"
"AUT","","TOTAL","FEMALE","1986","46705"
"AUT","","TOTAL","FEMALE","1987","45705"
"AUT","","TOTAL","FEMALE","1988","44772"
"AUT","","TOTAL","FEMALE","1989","44661"
"AUT","","TOTAL","FEMALE","1990","44566"
"AUT","","TOTAL","FEMALE","1991","44789"
"AUT","","TOTAL","FEMALE","1992","44654"
"AUT","","TOTAL","FEMALE","1993","44294"
"AUT","","TOTAL","FEMALE","1994","43440"
"AUT","","TOTAL","FEMALE","1995","43531"
"AUT","","TOTAL","FEMALE","1996","43522"
"AUT","","TOTAL","FEMALE","1997","42411"
"AUT","","TOTAL","FEMALE","1998","41957"
"AUT","","TOTAL","FEMALE","1999","42320"
"AUT","","TOTAL","FEMALE","2000","41569"
"AUT","","TOTAL","FEMALE","2001","40267"
"AUT","","TOTAL","FEMALE","2002","40965"
"AUT","","TOTAL","FEMALE","2003","41761"
"AUT","","TOTAL","FEMALE","2004","39676"
"AUT","","TOTAL","FEMALE","2005","40203"
"AUT","","TOTAL","FEMALE","2006","39538"
"AUT","","TOTAL","FEMALE","2007","39647"
"AUT","","TOTAL","FEMALE","2008","39927"
"AUT","","TOTAL","FEMALE","2009","40751"
"AUT","","TOTAL","FEMALE","2010","40507"
"AUT","","TOTAL","FEMALE","2011","39940"
"AUT","","TOTAL","FEMALE","2012","41989"
"AUT","","TOTAL","FEMALE","2013","41568"
"AUT","","TOTAL","FEMALE","2014","40828"
"AUT","","TOTAL","FEMALE","2015","43213"
"AUT","","TOTAL","FEMALE","2016","41647"
"AUT","","TOTAL","FEMALE","2017","43368"
"AUT","","TOTAL","FEMALE","2018","43124"
"AUT","","TOTAL","FEMALE","2019","42612"
"AUT","","TOTAL","FEMALE","2020","46227"
"AZE","","TOTAL","FEMALE","1981","20400"
"AZE","","TOTAL","FEMALE","1982","20449"
"AZE","","TOTAL","FEMALE","1985","21893"
"AZE","","TOTAL","FEMALE","1986","22203"
"AZE","","TOTAL","FEMALE","1987","22188"
"AZE","","TOTAL","FEMALE","1988","22794"
"AZE","","TOTAL","FEMALE","1989","20795"
"AZE","","TOTAL","FEMALE","1990","19822"
"AZE","","TOTAL","FEMALE","1991","20461"
"AZE","","TOTAL","FEMALE","1992","22660"
"AZE","","TOTAL","FEMALE","1993","23467"
"AZE","","TOTAL","FEMALE","1994","23699"
"AZE","","TOTAL","FEMALE","1995","23419"
"AZE","","TOTAL","FEMALE","1996","22223"
"AZE","","TOTAL","FEMALE","1997","21657"
"AZE","","TOTAL","FEMALE","1998","21620"
"AZE","","TOTAL","FEMALE","1999","21976"
"AZE","","TOTAL","FEMALE","2000","22185"
"AZE","","TOTAL","FEMALE","2001","21559"
"AZE","","TOTAL","FEMALE","2002","22121"
"AZE","","TOTAL","FEMALE","2003","23619"
"AZE","","TOTAL","FEMALE","2004","23529"
"AZE","","TOTAL","FEMALE","2007","23922"
"BEL","","TOTAL","FEMALE","1968","56973"
"BEL","","TOTAL","FEMALE","1969","56148"
"BEL","","TOTAL","FEMALE","1970","55782"
"BEL","","TOTAL","FEMALE","1971","56081"
"BEL","","TOTAL","FEMALE","1972","54953"
"BEL","","TOTAL","FEMALE","1973","55648"
"BEL","","TOTAL","FEMALE","1974","55066"
"BEL","","TOTAL","FEMALE","1975","56816"
"BEL","","TOTAL","FEMALE","1976","56349"
"BEL","","TOTAL","FEMALE","1977","53452"
"BEL","","TOTAL","FEMALE","1978","55065"
"BEL","","TOTAL","FEMALE","1979","53205"
"BEL","","TOTAL","FEMALE","1980","54302"
"BEL","","TOTAL","FEMALE","1981","54061"
"BEL","","TOTAL","FEMALE","1982","54400"
"BEL","","TOTAL","FEMALE","1983","56130"
"BEL","","TOTAL","FEMALE","1984","53766"
"BEL","","TOTAL","FEMALE","1985","54188"
"BEL","","TOTAL","FEMALE","1986","55012"
"BEL","","TOTAL","FEMALE","1987","51639"
"BEL","","TOTAL","FEMALE","1988","51187"
"BEL","","TOTAL","FEMALE","1989","53078"
"BEL","","TOTAL","FEMALE","1990","51305"
"BEL","","TOTAL","FEMALE","1991","51565"
"BEL","","TOTAL","FEMALE","1992","51434"
"BEL","","TOTAL","FEMALE","1993","52960"
"BEL","","TOTAL","FEMALE","1994","51526"
"BEL","","TOTAL","FEMALE","1995","51861"
"BEL","","TOTAL","FEMALE","1996","51856"
"BEL","","TOTAL","FEMALE","1997","51912"
