"Country or Area","Year","Item","Value"
"Albania","2021","Gross Domestic Product (GDP)","6396.46181225342"
"Albania","2020","Gross Domestic Product (GDP)","5278.22228193746"
"Albania","2019","Gross Domestic Product (GDP)","5359.23907835741"
"Albania","2018","Gross Domestic Product (GDP)","5268.11660839028"
"Albania","2017","Gross Domestic Product (GDP)","4521.7522173139"
"Albania","2016","Gross Domestic Product (GDP)","4117.00696970704"
"Albania","2015","Gross Domestic Product (GDP)","3950.39025503941"
"Albania","2014","Gross Domestic Product (GDP)","4586.6061875914"
"Albania","2013","Gross Domestic Product (GDP)","4425.43082151391"
"Albania","2012","Gross Domestic Product (GDP)","4259.66718136076"
"Albania","2011","Gross Domestic Product (GDP)","4444.12650489363"
"Albania","2010","Gross Domestic Product (GDP)","4093.82590041299"
"Albania","2009","Gross Domestic Product (GDP)","4109.89315287614"
"Albania","2008","Gross Domestic Product (GDP)","4364.06140964495"
"Albania","2007","Gross Domestic Product (GDP)","3587.7086198791"
"Albania","2006","Gross Domestic Product (GDP)","2962.01455358596"
"Albania","2005","Gross Domestic Product (GDP)","2655.14378408176"
"Albania","2004","Gross Domestic Product (GDP)","2343.42676466832"
"Albania","2003","Gross Domestic Product (GDP)","1798.08459210943"
"Albania","2002","Gross Domestic Product (GDP)","1394.52369713605"
"Albania","2001","Gross Domestic Product (GDP)","1245.20315007591"
"Albania","2000","Gross Domestic Product (GDP)","1096.02868806344"
"Albania","1999","Gross Domestic Product (GDP)","1004.17988730455"
"Albania","1998","Gross Domestic Product (GDP)","790.448796089151"
"Albania","1997","Gross Domestic Product (GDP)","683.726603672466"
"Albania","1996","Gross Domestic Product (GDP)","978.085685535899"
"Albania","1995","Gross Domestic Product (GDP)","728.532186773129"
"Albania","1994","Gross Domestic Product (GDP)","571.02349485557"
"Albania","1993","Gross Domestic Product (GDP)","515.173586954418"
"Albania","1992","Gross Domestic Product (GDP)","458.914225284259"
"Albania","1991","Gross Domestic Product (GDP)","483.676684088209"
"Albania","1990","Gross Domestic Product (GDP)","651.201283824497"
"Albania","1989","Gross Domestic Product (GDP)","895.924262148216"
"Albania","1988","Gross Domestic Product (GDP)","754.025635083509"
"Albania","1987","Gross Domestic Product (GDP)","734.537615826025"
"Albania","1986","Gross Domestic Product (GDP)","747.424762234979"
"Albania","1985","Gross Domestic Product (GDP)","732.85497841981"
"Albania","1984","Gross Domestic Product (GDP)","726.671599485852"
"Albania","1983","Gross Domestic Product (GDP)","746.583850792887"
"Albania","1982","Gross Domestic Product (GDP)","749.848951766967"
"Albania","1981","Gross Domestic Product (GDP)","740.369907168773"
"Albania","1980","Gross Domestic Product (GDP)","728.107124633655"
"Albania","1979","Gross Domestic Product (GDP)","821.218507999472"
"Albania","1978","Gross Domestic Product (GDP)","1003.16305421849"
"Albania","1977","Gross Domestic Product (GDP)","994.937066197683"
"Albania","1976","Gross Domestic Product (GDP)","989.749877577795"
"Albania","1975","Gross Domestic Product (GDP)","984.901966400037"
"Albania","1974","Gross Domestic Product (GDP)","981.265874129553"
"Albania","1973","Gross Domestic Product (GDP)","978.617771211013"
"Albania","1972","Gross Domestic Product (GDP)","976.521166305728"
"Albania","1971","Gross Domestic Product (GDP)","975.216820318921"
"Albania","1970","Gross Domestic Product (GDP)","974.554499423804"
"Armenia","2021","Gross Domestic Product (GDP)","4966.51667567882"
"Armenia","2020","Gross Domestic Product (GDP)","4505.86774552638"
"Armenia","2019","Gross Domestic Product (GDP)","4828.50488860645"
"Armenia","2018","Gross Domestic Product (GDP)","4391.92327364082"
"Armenia","2017","Gross Domestic Product (GDP)","4041.99507231389"
"Armenia","2016","Gross Domestic Product (GDP)","3679.95234910427"
"Armenia","2015","Gross Domestic Product (GDP)","3666.14182536082"
"Armenia","2014","Gross Domestic Product (GDP)","4017.22991251531"
"Armenia","2013","Gross Domestic Product (GDP)","3833.15707143416"
"Armenia","2012","Gross Domestic Product (GDP)","3643.71540446926"
"Armenia","2011","Gross Domestic Product (GDP)","3692.68222431741"
"Armenia","2010","Gross Domestic Product (GDP)","3351.79759076402"
"Armenia","2009","Gross Domestic Product (GDP)","3111.1456974399"
"Armenia","2008","Gross Domestic Product (GDP)","4168.59175599081"
"Armenia","2007","Gross Domestic Product (GDP)","3267.81709727456"
"Armenia","2006","Gross Domestic Product (GDP)","2249.64685695738"
"Armenia","2005","Gross Domestic Product (GDP)","1714.98193762588"
"Armenia","2004","Gross Domestic Product (GDP)","1244.12718397353"
"Armenia","2003","Gross Domestic Product (GDP)","970.639230871782"
"Armenia","2002","Gross Domestic Product (GDP)","816.145930168028"
"Armenia","2001","Gross Domestic Product (GDP)","721.03808176649"
"Armenia","2000","Gross Domestic Product (GDP)","643.370681804377"
"Armenia","1999","Gross Domestic Product (GDP)","613.861328379366"
"Armenia","1998","Gross Domestic Product (GDP)","622.688397271085"
"Armenia","1997","Gross Domestic Product (GDP)","534.176614698254"
"Armenia","1996","Gross Domestic Product (GDP)","516.24439586124"
