word, noun, lemmatized, sentiment, source, ambiguity
абортивный, Adj, абортивный, negative, fact
абракадабра, Noun, абракадабра, negative, opinion
абсурд, Noun, абсурд, negative, opinion
абсурдность, Noun, абсурдность, negative, opinion
абсурдный, Adj, абсурдный, negative, opinion
авантюра, Noun, авантюра, negative, opinion
авантюризм, Noun, авантюризм, negative, opinion
авантюрист, Noun, авантюрист, negative, opinion
авантюристический, Adj, авантюристический, negative, opinion
авантюристка, Noun, авантюристка, negative, opinion
авантюристский, Adj, авантюристский, negative, opinion
авантюрный, Adj, авантюрный, negative, opinion
аварийная защита, NG, аварийный защита, neutral, fact
аварийность, Noun, аварийность, negative, fact
аварийный, Adj, аварийный, negative, fact
авария, Noun, авария, negative, fact
авиакатастрофа, Noun, авиакатастрофа, negative, fact
авиакрушение, Noun, авиакрушение, negative, fact
авианалет, Noun, авианалет, negative, fact
авиаудар, Noun, авиаудар, negative, fact
авиационный налет, NG, авиационный налет, negative, fact
авитаминоз, Noun, авитаминоз, negative, fact
авитаминозный, Adj, авитаминозный, negative, fact
аврал, Noun, аврал, negative, opinion
авральный, Adj, авральный, negative, opinion
автовор, Noun, автовор, negative, fact
автоматная очередь, NG, автоматный очередь, negative, fact
автоматный огонь, NG, автоматный огонь, negative, fact
автомобильная пробка, NG, автомобильный пробка, negative, fact
автоподстава, Noun, автоподстава, negative, fact
авторитаризм, Noun, авторитаризм, negative, opinion
авторитарность, Noun, авторитарность, negative, opinion
авторитарный, Adj, авторитарный, negative, opinion
авторитет падает, VG, авторитет падать, negative, fact
авторитет снижается, VG, авторитет снижаться, negative, fact
авторитет снизился, VG, авторитет снизиться, negative, fact
авторитет упал, VG, авторитет упасть, negative, fact
авторитет, Noun, авторитет, positive, opinion
авторитетность, Noun, авторитетность, positive, opinion
авторитетный, Adj, авторитетный, positive, opinion
авторитетом не пользоваться, VG, авторитет не пользоваться, negative, fact
автотрасса перекрыта, VG, автотрасса перекрыть, negative, fact
автоугон, Noun, автоугон, negative, fact
автоугонщик, Noun, автоугонщик, negative, fact
агент иностранной разведки, NG, агент иностранный разведка, negative, fact
агитка, Noun, агитка, negative, opinion
агонизировать, Verb, агонизировать, negative, opinion
агония, Noun, агония, negative, opinion
агрессивность, Noun, агрессивность, negative, opinion
агрессивный, Adj, агрессивный, negative, opinion
агрессия, Noun, агрессия, negative, opinion
агрессор, Noun, агрессор, negative, opinion
агрессорский, Adj, агрессорский, negative, opinion
ад, Noun, ад, negative, opinion
адаптационный, Adj, адаптационный, positive, opinion
адаптация, Noun, адаптация, positive, opinion
адаптивность, Noun, адаптивность, positive, opinion
адаптивный, Adj, адаптивный, positive, opinion
адаптироваться, Verb, адаптироваться, positive, opinion
адекватность, Noun, адекватность, positive, opinion
адекватный, Adj, адекватный, positive, opinion
административная ответственность, NG, административный ответственность, neutral, fact
административное воздействие, NG, административный воздействие, negative, fact
административное давление, NG, административный давление, negative, fact
административные меры, NG, административный мера, negative, fact
административный барьер, NG, административный барьер, negative, fact
адов, Adj, адов, negative, opinion
адовый, Adj, адовый, negative, opinion
адский, Adj, адский, negative, opinion
ажиотаж, Noun, ажиотаж, negative, opinion
ажиотажный, Adj, ажиотажный, negative, fact
ажитация, Noun, ажитация, negative, feeling
аккуратист, Noun, аккуратист, positive, opinion
аккуратистка, Noun, аккуратистка, positive, opinion
аккуратность, Noun, аккуратность, positive, opinion
аккуратный, Adj, аккуратный, positive, opinion
активная зона, NG, активный зона, neutral, fact
активность, Noun, активность, positive, opinion
активный, Adj, активный, positive, opinion
актуальность, Noun, актуальность, positive, opinion
актуальный, Adj, актуальный, positive, opinion
алкатель, Noun, алкатель, negative, opinion
алкашка, Noun, алкашка, negative, opinion
алкоголизация, Noun, алкоголизация, negative, fact
алкоголизм, Noun, алкоголизм, negative, fact
алкоголик, Noun, алкоголик, negative, fact
алкоголический, Adj, алкоголический, negative, fact
алкоголичка, Noun, алкоголичка, negative, opinion
алкогольная зависимость, NG, алкогольный зависимость, negative, fact
алкогольное опьянение, NG, алкогольный опьянение, negative, feeling
алкогольный угроза, NG, алкогольная угроза, negative, fact
алконавт, Noun, алконавт, negative, opinion
аллерген, Noun, аллерген, negative, fact
аллергенный, Adj, аллергенный, negative, fact
аллергический, Adj, аллергический, negative, fact
аллергия, Noun, аллергия, negative, fact
алогизм, Noun, алогизм, negative, opinion
алогический, Adj, алогический, negative, opinion
алогичность, Noun, алогичность, negative, opinion
алогичный, Adj, алогичный, negative, opinion
алчность, Noun, алчность, negative, opinion
алчный, Adj, алчный, negative, opinion
альцгеймер, Noun, альцгеймер, negative, fact
аморальность, Noun, аморальность, negative, opinion
аморальный, Adj, аморальный, negative, opinion
аморфность, Noun, аморфность, negative, opinion
аморфность, Noun, аморфность, negative, opinion
аморфность, Noun, аморфность, neutral, fact
аморфный, Adj, аморфный, negative, opinion
аморфный, Adj, аморфный, negative, opinion
аморфный, Adj, аморфный, neutral, fact
ампутационный, Adj, ампутационный, negative, fact
ампутация, Noun, ампутация, negative, fact
ампутированный, Adj, ампутированный, negative, fact
ампутировать, Verb, ампутировать, negative, fact
анархизм, Noun, анархизм, negative, fact
анархист, Noun, анархист, negative, fact
анархистка, Noun, анархистка, negative, fact
анархистский, Adj, анархистский, negative, fact
анархический, Adj, анархический, negative, fact
анархия, Noun, анархия, negative, fact
ангажированность, Noun, ангажированность, negative, opinion
ангажированный, Adj, ангажированный, negative, opinion
ангел, Noun, ангел, positive, opinion
ангельский, Adj, ангельский, positive, opinion
ангина, Noun, ангина, negative, fact
ангинный, Adj, ангинный, negative, fact
ангиозный, Adj, ангиозный, negative, fact
анемический, Adj, анемический, negative, fact
анемичность, Noun, анемичность, negative, opinion
анемичный, Adj, анемичный, negative, opinion
анемия, Noun, анемия, negative, fact
аномалия, Noun, аномалия, negative, opinion
аномальность, Noun, аномальность, negative, opinion
аномальный, Adj, аномальный, negative, opinion
