year,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
абортивный,1.2629145729192714e-08,9.343435358744046e-09,1.8253302869197796e-08,1.2119206083127665e-08,1.3135727172652878e-08,1.1596084981135846e-08,2.5909317358241424e-08,1.935589288848405e-08,7.33278415765426e-09,5.56981172294968e-09,5.893801446887892e-09,1.0694731322757889e-08,9.956394819710113e-09,4.3684060813120595e-09,7.713268246334337e-09,1.2894061818258251e-08,7.960952785879272e-09,1.0514375148318322e-08
аварийность,1.1955592071899446e-07,1.5204317094230646e-07,1.8570750626167865e-07,1.648212020199935e-07,1.4990183672125568e-07,1.772544351297256e-07,2.2022919665687368e-07,1.2645850233639067e-07,1.6132125324475055e-07,1.6041057904203626e-07,1.0844594555692311e-07,2.7806299840449356e-07,1.869589709713182e-07,1.321442795187977e-07,1.2919724667881383e-07,8.521293182184309e-08,1.1499153629301873e-07,1.0339135769754648e-07
аварийный,4.420201094035292e-07,4.5867773224017583e-07,4.317302852996363e-07,4.4275500954427116e-07,4.844765157940856e-07,4.870355496677803e-07,4.424514088441356e-07,4.0518338551009947e-07,3.470851197562297e-07,3.9545665231344174e-07,4.267112387879024e-07,3.9095183979043213e-07,3.8719312556168006e-07,3.4510406976551167e-07,3.538461896823719e-07,4.535346249667782e-07,4.643888757982495e-07,4.89794672375865e-07
авария,9.614990403861157e-07,1.1297062201265362e-06,1.2896355201519327e-06,1.1860663562401896e-06,1.5144721601245692e-06,1.3310648228070932e-06,1.4887892803017166e-06,1.3149103779142024e-06,1.247795466952084e-06,1.3490084711520467e-06,1.3449655398289906e-06,1.6636248574286583e-06,1.2345929008006351e-06,1.2766666941388394e-06,1.2447286508177058e-06,1.4497410347757977e-06,1.1879510566359386e-06,1.438717049495608e-06
авиакатастрофа,5.893601606743459e-09,1.0192838573175322e-08,5.555352622366172e-09,1.3735101056511212e-08,1.0044968412614708e-08,9.111209564593992e-09,0.0,1.1613535910726114e-08,1.5887700044459052e-08,1.893736012448244e-08,1.296636309433552e-08,2.6142675579876595e-08,4.314437873631505e-08,2.2934131038709893e-08,1.735485355425226e-08,3.9242795679683695e-08,1.7691005993469844e-08,6.396245311179882e-08
авианалет,4.209715243064238e-09,5.096419286587661e-09,5.555352622366172e-09,8.079470981137149e-10,3.090759426171985e-09,2.484875416541854e-09,4.982561030431043e-09,3.871178932968178e-09,8.554914998626373e-09,6.683774422810984e-09,1.1787602893775784e-08,4.753213822539237e-09,8.85012862994472e-09,3.2763045609840447e-09,1.349821943108509e-08,3.643974011424689e-08,1.1499153629301873e-08,1.6647760503474274e-08
авиаудар,0.0,0.0,0.0,0.0,7.726898565429963e-10,1.6565835370130344e-09,0.0,0.0,1.2221307299498108e-09,6.683774422810984e-09,1.1787603115820389e-09,0.0,3.3187981252069676e-09,1.0921015203280149e-09,0.0,1.1772839592083528e-08,4.422751498367461e-09,1.1390572929315113e-08
авиационный налет,7.14198167273139e-09,2.4016029165352393e-09,3.7352436699222835e-09,6.858562162648241e-09,2.1864134946980585e-09,1.7178228617353852e-08,2.8161986076469248e-09,7.288885495171371e-09,1.153002360254618e-09,8.386884964295405e-09,2.2254184273151623e-08,2.243959906778059e-09,3.134763559842213e-09,3.093153067013077e-09,2.730473624978913e-09,1.0022056962100123e-08,6.6810543764006525e-09,6.614264691506833e-09
авитаминоз,5.1358526320655074e-08,5.2662997518382326e-08,4.9204555097048797e-08,6.3827819474227e-08,4.945215081875176e-08,8.365746850813593e-08,7.174887883820702e-08,4.387336005606812e-08,1.1732454652246815e-07,5.347019538248787e-08,7.308313598741734e-08,6.773329630505032e-08,3.871931397725348e-08,7.75392052787538e-08,6.074198921623974e-08,1.379104048737645e-07,6.280306763528642e-08,7.622922026939705e-08
авитаминозный,1.6838861416346163e-09,0.0,1.5872436698316505e-09,4.847682699704592e-09,2.3180695141178376e-09,3.313167074026069e-09,2.989536618258626e-09,1.290392903641191e-09,3.66639207882713e-09,1.1139623667943965e-09,5.893801446887892e-09,2.3766069112696186e-09,3.3187981252069676e-09,6.552609121968089e-09,8.67742677712613e-09,3.363668454881008e-09,0.0,4.380989793162371e-09
автоматная очередь,3.4360866152383096e-07,2.401602898771671e-07,1.7929168905084225e-07,2.0423274804670655e-07,1.6179460260445921e-07,1.717822897262522e-07,2.3092827916570968e-07,1.8951102731534775e-07,1.7179735323225032e-07,2.8934752549503173e-07,3.716448873092304e-07,2.2663995480343146e-07,2.2465805216143053e-07,2.0311705384301604e-07,2.056956702745083e-07,3.86640408578387e-07,2.087829500396765e-07,2.265385603550385e-07
автоматный огонь,1.253814474466708e-07,6.404274444093971e-08,5.67757005853764e-08,5.4868497301185926e-08,4.882990367605089e-08,4.684971344204314e-08,3.003945181490053e-08,3.887405597424731e-08,4.150808408098783e-08,8.806229345736938e-08,1.4131407510831195e-07,3.7025337462637253e-08,3.866208331260168e-08,3.71178359159785e-08,4.004694531545283e-08,6.118729345416796e-08,4.9272774305109124e-08,4.464628489131428e-08
автомобильная пробка,0.0,1.6010686110234928e-09,3.7352436699222835e-09,2.286187461564282e-09,7.288045167364032e-10,2.342485760919999e-09,2.8161986076469248e-09,2.429628498390457e-09,0.0,6.290163945266158e-09,3.3381277741995063e-09,2.243959906778059e-09,1.0449211496066368e-09,5.1552548896438566e-09,4.550789078905382e-09,8.967103504176066e-09,8.351317859478513e-09,9.094613950821895e-09
авторитет падает,7.935535006886596e-10,0.0,1.494097401355532e-09,2.286187461564282e-09,2.915218066945613e-09,4.684971521839998e-09,1.877465738431283e-09,1.2148142491952285e-09,0.0,1.0483606205369256e-09,2.2254185161330042e-09,5.609899655922845e-09,2.0898422992132737e-09,1.0310510223376923e-09,4.550789078905382e-09,2.637383422765538e-09,8.351317970500816e-10,3.3071323457534163e-09
авторитет упал,1.5871070013773192e-09,0.0,2.988194802711064e-09,1.5241249373687538e-09,0.0,3.904142786836928e-09,3.754931476862566e-09,6.074071023931538e-09,4.612009441018472e-09,1.0483606205369256e-09,4.4508370322660085e-09,1.0097819469478964e-08,2.0898422992132737e-09,5.1552548896438566e-09,9.101578379855368e-10,1.5824299648414808e-09,8.351317970500816e-10,1.6535661728767082e-09
автоугонщик,0.0,8.494032144312769e-10,0.0,0.0,0.0,0.0,9.965122060862086e-10,0.0,0.0,0.0,1.1787603115820389e-09,0.0,0.0,1.0921015203280149e-09,9.641585307917921e-10,6.727336909762016e-09,8.845502663668015e-10,2.6285937870795806e-09
агент иностранной разведки,1.6838861416346163e-09,6.795225715450215e-09,8.729839962029473e-09,1.777483582543482e-08,2.0862625405015933e-08,1.40809603976777e-08,1.1958146473034503e-08,2.580785807282382e-09,7.33278415765426e-09,3.341887211405492e-09,7.072562091536838e-09,1.4259641467617712e-08,7.743862440179328e-09,1.0921015203280149e-08,8.67742677712613e-09,1.2894061818258251e-08,1.6806454894435774e-08,1.4019167160483903e-08
административное воздействие,1.3490409678240667e-08,1.8412288582680958e-08,2.0170315195855437e-08,1.6003312452994578e-08,4.0084248809080236e-08,2.576734203785236e-08,4.3181710651651883e-08,1.700739993282241e-08,1.6142033487653862e-08,1.2580327890532317e-08,1.557793005702024e-08,3.926929892372755e-08,1.8808581359053278e-08,2.0621019558575426e-08,2.6394577190558266e-08,1.3186916447693875e-08,1.419724071638484e-08,2.811062493890404e-08
административное давление,3.967767447932147e-09,1.601068611023493e-08,1.9423266550688822e-08,2.286187417155361e-08,4.882990367605089e-08,4.060308711473226e-08,4.7875374775685486e-08,3.522961478097386e-08,3.113106217256245e-08,9.435245473810028e-09,4.1170242326415973e-08,3.814731996953924e-08,4.075192450159193e-08,3.402468351509924e-08,3.094536538128523e-08,4.061570280100568e-08,5.511869716201545e-08,4.878020121168447e-08
