word,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
ажитация,8.419430486128476e-09,1.359045143090043e-08,1.3491571415613635e-08,1.2119206083127665e-08,1.0817657880579645e-08,1.8222419129187983e-08,2.092675543963196e-08,5.161571614564764e-09,8.554914998626373e-09,5.56981172294968e-09,1.4145124183073676e-08,1.4259641467617712e-08,6.637596250413935e-09,6.552609121968089e-09,1.5426536492668674e-08,2.3545679184167057e-08,1.5037354472724473e-08,1.3142969379487113e-08
алкогольное опьянение,1.5871069791728587e-08,2.5617097776375886e-08,2.6146704357188355e-08,4.191343450088425e-08,2.1864135391069794e-08,1.6397400770529202e-08,2.440705415551747e-08,1.3362956963192119e-08,2.997806092253086e-08,1.4677048909561563e-08,2.670502219359605e-08,3.478137955426064e-08,3.343747678741238e-08,1.6496816357403077e-08,2.548441990768424e-08,1.0180299625517364e-07,5.7624095717301316e-08,4.3819504469411186e-08
антипатия,1.5828530308681366e-07,1.3165750090138317e-07,1.476136617384327e-07,1.6562916016482632e-07,2.07853574352157e-07,1.9133540263283066e-07,2.3019431694137893e-07,2.2581875214200409e-07,2.5664743930065015e-07,2.78490603022874e-07,2.404671022304683e-07,2.0082327978343528e-07,2.245720196469847e-07,2.304334145719622e-07,2.4393210651396657e-07,2.9376036536632455e-07,2.5032773010025267e-07,2.6198318892056704e-07
безверие,1.3386895147959876e-07,1.3505511731182196e-07,1.3967743939247157e-07,1.7855630574103998e-07,2.341250251447491e-07,2.6753824045044894e-07,3.428002059990831e-07,3.096942862157448e-07,4.0819165292305115e-07,3.676075834846415e-07,3.041201637188351e-07,4.337307473178953e-07,3.6174901651975233e-07,3.6803820080422156e-07,3.692727261750406e-07,2.94881601803354e-07,3.573583171601058e-07,3.460981758962589e-07
безвкусность,1.6838861416346163e-09,5.096419286587661e-09,7.936218349158253e-10,2.423841349852296e-09,3.863449116181528e-09,3.313167074026069e-09,3.9860488243448344e-09,6.45196429616135e-09,8.554914998626373e-09,3.341887211405492e-09,1.1787602893775784e-08,5.9415175002186515e-09,5.5313305047377526e-09,9.828913682952134e-09,7.713268246334337e-09,3.363668454881008e-09,2.6536508546115556e-09,5.257187574159161e-09
безвкусный,6.482961367737516e-08,6.030762733644224e-08,6.1902504455702e-08,6.463577051363245e-08,8.808664375692388e-08,9.028380532072333e-08,7.673143898045964e-08,7.226200438026353e-08,9.043767335015218e-08,1.3256152442409075e-07,8.958578234796732e-08,1.2477185862280749e-07,1.0398900940344902e-07,8.190761491277954e-08,8.870258483284488e-08,1.4968324535402644e-07,8.757047709195831e-08,1.1302953595304643e-07
беспокойность,1.7680804376141168e-08,6.795225715450215e-09,5.555352622366172e-09,8.88741791271741e-09,4.636139028235675e-09,9.939501666167416e-09,4.982561030431043e-09,9.032750547532942e-09,9.777045839598486e-09,4.455849467177586e-09,5.893801446887892e-09,1.663624793479812e-08,6.637596250413935e-09,7.644710642296104e-09,5.784951184750753e-09,1.7939564500579763e-08,3.538201065467206e-09,7.0095835802419515e-09
беспокойный,8.823563462101447e-07,8.009872090042336e-07,8.65047809384123e-07,9.452980975765968e-07,8.260054755737656e-07,7.5705867175202e-07,7.314399681490613e-07,7.239104320433398e-07,9.227086934515683e-07,9.167910093310638e-07,7.426190222759033e-07,8.686498063070758e-07,7.732799645054911e-07,6.989449730099295e-07,7.163698114709405e-07,9.799487088457681e-07,7.642514106009912e-07,6.702914561174111e-07
беспокойство,6.126819698692998e-06,5.996786512696417e-06,6.3910365497577e-06,6.802914413128747e-06,6.921755812072661e-06,6.979186309763463e-06,7.1001495598466136e-06,7.200392246886622e-06,7.430554887832841e-06,7.460205779352691e-06,7.228158210637048e-06,6.807790668972302e-06,6.672997187706642e-06,6.8037925302633084e-06,6.4135824686673e-06,8.649672963656485e-06,6.71639008942293e-06,6.359444796544267e-06
беспокоить,1.6443148069811286e-06,1.715794496703893e-06,1.8261238210470765e-06,2.00290082830179e-06,2.0290835891501047e-06,2.088951760015334e-06,1.99402097678103e-06,2.1291482426022412e-06,2.378266344749136e-06,2.7425753614807036e-06,2.382274487899849e-06,2.223315732408082e-06,2.4182977540476713e-06,2.2060451101424405e-06,2.195389015469118e-06,3.3709563922457164e-06,2.23879669647431e-06,2.2570859528059373e-06
беспокоиться,1.881742718978785e-06,1.9706153580045793e-06,1.9911972231057007e-06,2.210543243563734e-06,2.2562544472748414e-06,2.4418040993623435e-06,2.582959723440581e-06,2.7072442208009306e-06,2.8426761673472356e-06,3.1881602353678318e-06,2.662819497345481e-06,2.6629879812389845e-06,2.631807092257077e-06,2.5992017071985174e-06,2.560805114626419e-06,4.755666395794833e-06,2.9375914891716093e-06,2.8187287171022035e-06
бессилие,1.6241082221313263e-06,1.705601675894286e-06,1.7523169617561507e-06,1.9253379832662176e-06,2.1449870928336168e-06,2.2521253413287923e-06,2.4823118565109326e-06,2.428519337627222e-06,2.6300253921363037e-06,2.723638090174063e-06,2.490720589776174e-06,2.3326397240452934e-06,2.487992333044531e-06,2.1863872916583205e-06,2.19153230318625e-06,2.5025692593771964e-06,2.1353043848648667e-06,2.0625700472010067e-06
бессильный,2.635281930452038e-07,2.7435723382041033e-07,2.8491024295362877e-07,3.409536759590992e-07,4.0179872939916095e-07,3.7852933587601e-07,3.946188371628523e-07,4.0389298305854027e-07,4.778531206284242e-07,5.580951665251632e-07,4.2435371483406925e-07,4.776979949383531e-07,4.6241922291301307e-07,3.822355267857347e-07,3.8662756196572445e-07,4.5073156229591405e-07,4.0866223116609035e-07,3.259456491377932e-07
бить по нервам,4.209715243064238e-09,4.247016072156384e-09,2.380865504747476e-09,2.423841349852296e-09,3.863449116181528e-09,8.282917685065172e-10,3.9860488243448344e-09,6.45196429616135e-09,3.66639207882713e-09,2.227924733588793e-09,4.7150412463281555e-09,2.3766069112696186e-09,1.2168927199240898e-08,1.0921015203280149e-09,5.784951184750753e-09,4.484891125144941e-09,1.769100532733603e-09,0.0
болевой,6.230378630789346e-07,7.839991553737491e-07,7.690195502618735e-07,6.310066851256124e-07,7.858255912651657e-07,6.833407155681925e-07,1.0612855021463474e-06,4.80026187688054e-07,5.744014401898312e-07,3.319607912999345e-07,5.775925728812581e-07,3.861986215270008e-07,5.641957159241429e-07,5.067350912213442e-07,4.329071714437305e-07,7.764467682136456e-07,4.033549316773133e-07,5.677762828781852e-07
болезненность,3.8981963257356256e-07,4.399908561936172e-07,4.007790153082169e-07,3.1913910447656235e-07,3.2530243743167375e-07,3.760444542422192e-07,6.646736210313975e-07,3.819563119122904e-07,4.7296458660639473e-07,3.787472167005035e-07,3.4655553804441297e-07,3.3272496580138977e-07,3.4404874327265134e-07,3.3964357726290473e-07,3.123873568711133e-07,8.986600619209639e-07,3.361290907832881e-07,3.6712694395646395e-07
болезненный,8.848821835272247e-07,9.317953413301439e-07,1.0515489066165173e-06,1.2183842272861511e-06,1.4271581676439382e-06,1.6466440229123691e-06,1.7588440641702618e-06,1.72396494235727e-06,1.789199359336635e-06,1.9405224520596676e-06,1.8176483536080923e-06,1.7812668602346093e-06,1.786619691301894e-06,1.7298888224104303e-06,1.6593168084000354e-06,1.977276269826689e-06,1.7248730728169903e-06,1.5832896451684064e-06
болеть,1.539071945444448e-06,1.5739441323603387e-06,1.5554987840005197e-06,1.7823313100961968e-06,1.917043618959724e-06,1.977960664589773e-06,1.8116592173100798e-06,1.8942968154078699e-06,1.8930804799310863e-06,2.055260665656533e-06,2.0687243704742286e-06,1.948817725860863e-06,2.0554423372232122e-06,2.180926685468876e-06,2.1221128463366767e-06,2.901163952628849e-06,2.218451982116676e-06,2.167713773815194e-06
боль,2.3800888811820187e-05,2.3653330572415143e-05,2.3397558834403753e-05,2.407035935902968e-05,2.5570625439286232e-05,2.6007533961092122e-05,2.6151470592594706e-05,2.3110937036108226e-05,2.604971632536035e-05,2.5120965801761486e-05,2.428482002869714e-05,2.2344858734868467e-05,2.4014823793550022e-05,2.440410025883466e-05,2.2146721676108427e-05,3.4948512620758265e-05,2.4824903448461555e-05,2.429521737212781e-05
боязливость,3.704549556005077e-08,4.41689671504264e-08,6.507698913083004e-08,4.5245037938457244e-08,5.563367011518494e-08,7.12330887608914e-08,5.97907359178862e-08,7.484278796709987e-08,9.288193325573957e-08,6.795170293116826e-08,4.950793197622261e-08,6.654499173919248e-08,6.195089952143462e-08,5.6789279057056774e-08,7.231189158574125e-08,1.1660716836559004e-07,8.491682734756978e-08,5.52004699727604e-08
боязливый,7.156516090844889e-08,1.0277778983436292e-07,9.52346184135422e-08,9.291391478427613e-08,9.581354021293009e-08,1.134759699539245e-07,1.0064773192652865e-07,1.3162006951006333e-07,8.677127993905742e-08,1.3813132682116702e-07,1.155185103129952e-07,8.555785058206311e-08,1.2832686024921713e-07,8.846022581110446e-08,1.0412912132551355e-07,1.2725878661967727e-07,1.0437693021003724e-07,7.710541893857226e-08
боязнь,1.9549918306438485e-06,2.474311486366787e-06,2.6721247650129953e-06,3.215629476471804e-06,3.3434289434808306e-06,3.1127203783398727e-06,3.154957539663883e-06,3.098233264609007e-06,3.349860435264418e-06,3.4187505661975592e-06,3.195619228790747e-06,3.191782980138669e-06,3.092013685090933e-06,3.0382263958017575e-06,2.9753932722087484e-06,3.205575922038406e-06,2.887172058763099e-06,2.8642909910558956e-06
бояться,5.690693342330633e-06,6.164968453958863e-06,6.855305400677025e-06,7.974437721713912e-06,8.04601950221695e-06,8.467626685160212e-06,8.602889465691987e-06,8.938551218307111e-06,9.37618733587442e-06,9.673649401520379e-06,8.991583854367491e-06,8.909899406717159e-06,8.308058568218257e-06,8.279221219709143e-06,7.810648639861029e-06,1.2681590305874124e-05,8.606673873146065e-06,8.727807653485797e-06
