word,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
абракадабра,3.115189528557494e-08,5.945822323383254e-08,4.999817448947397e-08,5.251656176596953e-08,9.11774051814973e-08,1.2258718129487534e-07,9.466865691365456e-08,1.3420086020232702e-07,1.0999176680570599e-07,1.1362416074689463e-07,1.1198223148767283e-07,9.506428000349842e-08,1.2058299603268097e-07,1.4197320297171245e-07,1.1955566492360958e-07,1.2781939062733727e-07,1.1941428113004804e-07,1.2091531687019597e-07
абсурд,5.060077796770202e-07,6.200643269949069e-07,6.912446224305313e-07,9.848874924500706e-07,1.3637976508107386e-06,1.5339963965743664e-06,1.7797708551370306e-06,1.8375194485997781e-06,1.8613051224747323e-06,1.7500349258625647e-06,1.7268838519157725e-06,1.7919616084327572e-06,1.730200096972112e-06,1.6676390259817708e-06,1.7393419966538204e-06,1.5584996617690194e-06,1.8531328578319517e-06,1.705957402009517e-06
абсурдность,3.401449930606759e-07,3.6609279163712927e-07,3.753831379071926e-07,4.0720533434068784e-07,5.277471473164042e-07,6.17077375864028e-07,6.636771558987675e-07,7.25200834494899e-07,7.674980793126451e-07,6.360725137710688e-07,7.01362409927242e-07,6.868393711556564e-07,7.246042628139548e-07,7.262474923663831e-07,7.240830655064201e-07,6.587183634110261e-07,7.669050887670892e-07,7.281204830178467e-07
абсурдный,1.1955592071899446e-07,1.2401287108332326e-07,1.3094759765408526e-07,1.4866226649701275e-07,1.7153715248241497e-07,1.7228468607299874e-07,2.1723965915043664e-07,2.3356111000794044e-07,2.114286132837151e-07,2.3059020293203503e-07,2.6639983730092354e-07,2.3766068579789135e-07,2.5554746230227465e-07,2.4353863636861206e-07,2.4489625616297417e-07,2.0854743354448146e-07,2.635959788221953e-07,2.2343047589856724e-07
авантюра,5.245305487733276e-07,4.6802117026345513e-07,5.182350832910743e-07,4.282119618892466e-07,4.620685274403513e-07,5.060862804384669e-07,6.517190058730193e-07,7.53589461055526e-07,5.768457072008459e-07,6.215910275386705e-07,6.506757017632481e-07,6.17917805811885e-07,6.847786835351144e-07,5.886427061341237e-07,7.028715458545776e-07,6.850671070424141e-07,5.767267907685891e-07,5.931860300734115e-07
авантюризм,5.001141971661127e-07,4.0941233692137757e-07,3.833193602531537e-07,3.401457320251211e-07,4.203432695248921e-07,4.240853854753368e-07,3.9960139019967755e-07,3.832466859421402e-07,3.556400542947813e-07,3.263909604811488e-07,3.901696743469074e-07,4.1590621435716457e-07,3.418362268803321e-07,3.8332763097059797e-07,3.5673866705110413e-07,2.808663168707426e-07,3.635501570897759e-07,3.136788677693403e-07
авантюрист,3.578257974368171e-07,3.9242428329089307e-07,3.8570021843042923e-07,4.4921858943780535e-07,5.115206818118168e-07,5.831174121340155e-07,6.935724741197191e-07,6.090654665058537e-07,6.281752007453179e-07,6.928846119080845e-07,6.648207886428281e-07,6.547551834046317e-07,6.648659223174036e-07,7.153265073611692e-07,7.298680202438845e-07,8.055985745158978e-07,6.421834655156999e-07,7.123489353944024e-07
авантюристический,2.2648268327429832e-07,1.4439854112424655e-07,1.35709328219491e-07,8.806623696955285e-08,8.576857624120748e-08,7.12330887608914e-08,7.673143898045964e-08,5.677728864839082e-08,6.110653316682146e-08,5.6812080373447316e-08,6.011677555761707e-08,5.466196029146886e-08,5.0888239400137536e-08,4.477616144527019e-08,5.881366860194248e-08,5.493991750427085e-08,4.245841367378489e-08,5.958145976592277e-08
авантюристка,5.220046972453929e-08,5.606061392882111e-08,4.2061955696226505e-08,5.251656176596953e-08,5.4088289402898226e-08,7.620284492304563e-08,5.97907359178862e-08,1.0710260767154978e-07,1.2099094703899027e-07,1.1473812122630989e-07,8.487074154572838e-08,1.2239524949109182e-07,9.513887988532588e-08,1.2340747446160094e-07,1.147348669405801e-07,1.7771381521924923e-07,1.1145333189688245e-07,8.937219320159784e-08
авантюристский,2.525829323474227e-09,7.644628929881492e-09,7.142596736287032e-09,4.039735657102028e-09,6.954208764398118e-09,3.313167074026069e-09,1.9930244121724172e-09,3.871178932968178e-09,8.554914998626373e-09,7.797736678583078e-09,3.536281045768419e-09,0.0,2.21253215748618e-09,1.0921015203280149e-09,1.9283170615835843e-09,6.166725352585445e-09,5.307301709223111e-09,2.6285937870795806e-09
