word,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
антицеллюлитный,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10626607874309e-09,2.1842030406560298e-09,2.8924755923753764e-09,4.3167077024008904e-08,2.2113756159569675e-08,1.6647760503474274e-08
атака,3.3475655527581694e-06,2.1702251160604646e-06,2.430863787594717e-06,2.2630597413808573e-06,2.3134334696806036e-06,2.5494821329630213e-06,2.4195317109843018e-06,2.2968993107497226e-06,2.5566973818058614e-06,3.019951918759034e-06,3.11546341436042e-06,2.242328719148645e-06,2.385109610258951e-06,2.353478748773341e-06,2.4875289454939775e-06,3.916991772712208e-06,2.934053327408037e-06,3.0772071113460697e-06
без инцидентов,1.7458177126172814e-08,1.2008014138586987e-08,1.8676217905522208e-08,2.6672186237419737e-08,2.915218111354534e-08,3.2013971917876916e-08,2.6284521226216384e-08,2.06518429024527e-08,4.150808408098783e-08,3.040245744045933e-08,4.339566217481661e-08,4.151325683210416e-08,3.552731797640263e-08,3.814888671627159e-08,2.548441990768424e-08,4.3253088222172664e-08,3.758093214401015e-08,3.307132345753416e-08
без нареканий,5.5548743382871635e-09,6.404274444093971e-09,9.711633275344411e-09,6.858562162648241e-09,7.288045278386335e-09,3.904142786836928e-09,1.689719120179234e-08,1.700739993282241e-08,2.306004720509236e-09,4.193442482147702e-09,1.2239802060776128e-08,1.0097819469478964e-08,4.179684598426547e-09,5.1552548896438566e-09,1.0011736328863208e-08,1.3186916447693875e-08,6.6810543764006525e-09,4.9606985186301245e-09
без ограничений,5.25332438883197e-07,6.060044484001992e-07,6.775731549168995e-07,7.552039278380107e-07,9.642084251026972e-07,8.72966325005109e-07,9.687722695161938e-07,8.880292057256156e-07,8.624457450423506e-07,7.307073701667832e-07,7.889108815106738e-07,8.818762466944463e-07,7.523432259404217e-07,7.320462032112118e-07,6.971808943490032e-07,6.746426493009494e-07,8.535046731594775e-07,7.350101896008709e-07
без очереди,3.824928000994987e-07,3.938628765354224e-07,4.44493963414061e-07,5.090577133159968e-07,6.027213430570555e-07,5.918680585637048e-07,6.270735752877954e-07,4.5798498149451916e-07,5.176980835130962e-07,5.797434141641133e-07,4.929302122036461e-07,4.555238604098122e-07,4.3259734638922964e-07,4.95935523758817e-07,4.3414527794993774e-07,5.60707690056006e-07,4.835413278669876e-07,4.390218180105876e-07
без проблем,7.618113784246816e-08,5.4436334551155596e-08,1.0608091827180033e-07,1.0745080913920901e-07,1.5232014050070575e-07,2.0067294315140316e-07,2.3843816165936005e-07,2.891257793180557e-07,3.066986380417802e-07,3.281368776697491e-07,4.1615325585553364e-07,4.947931415699713e-07,5.621675995826081e-07,6.536863565997919e-07,6.107159151724773e-07,1.428934297109663e-06,7.775076937832637e-07,9.698165968075045e-07
без проволочек,1.5633004579740373e-07,1.817212904597909e-07,1.8825626568741427e-07,2.2023606049970113e-07,2.2009896838426357e-07,1.9520713578913274e-07,1.9244023974351876e-07,1.9922953242712538e-07,1.4527829250710056e-07,1.3943196108812117e-07,1.7580806854766706e-07,1.4697937444907438e-07,1.5673816733396961e-07,1.5259554686508636e-07,1.5108619777493004e-07,1.9885870017333218e-07,1.377967464577523e-07,1.537816558538907e-07
без происшествий,1.333169876716056e-07,1.0567053010390737e-07,9.711633452980095e-08,1.0135430983382321e-07,1.0494785129822048e-07,1.0072688638729232e-07,1.0607681133478764e-07,9.475551365767387e-08,1.245242486902498e-07,1.2370655610993708e-07,1.5466657998786104e-07,1.3014967237268138e-07,1.6091786392280483e-07,1.4125399161457608e-07,1.1923067688712763e-07,2.611009506381379e-07,1.5199398717413715e-07,1.29804945459e-07
без серьезных инцидентов,0.0,8.494032144312769e-10,0.0,8.079470981137149e-10,0.0,0.0,2.989536618258626e-09,0.0,1.2221307299498108e-09,0.0,8.251322292096575e-09,1.1883034556348093e-09,6.637596250413935e-09,1.0921015203280149e-09,0.0,4.484891125144941e-09,0.0,7.0095835802419515e-09
