word,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
аромат,2.6975856144417776e-06,2.730831283770385e-06,2.949098643512116e-06,2.9999075650266604e-06,2.940857484645676e-06,3.110235638814629e-06,3.391131031094119e-06,3.2659843327564886e-06,3.83137967219227e-06,3.736229700734839e-06,3.414868615436717e-06,4.466832706384594e-06,3.4172558116551954e-06,3.5526063584256917e-06,3.298386445749202e-06,7.0395972215919755e-06,4.106967026018538e-06,3.82548023480922e-06
ароматический,1.6838860972256953e-07,1.4439854112424655e-07,1.5237539230383845e-07,1.3411921884198819e-07,1.2363037171780888e-07,1.449510591555736e-07,1.7937219354280387e-07,1.5871832204084058e-07,1.1854668002797553e-07,9.691472513395638e-08,9.31220611732897e-08,9.862918659564457e-08,6.416343012460857e-08,5.4605074240043905e-08,7.231189158574125e-08,7.792498024628003e-08,7.076402397387938e-08,6.045765843509798e-08
ароматичность,3.704549556005077e-08,4.077135429270129e-08,4.6823689814345926e-08,6.867550439437764e-08,2.8589525413735828e-08,5.30106731844171e-08,4.285002574988539e-08,4.516375184948629e-08,2.3220483313934892e-08,2.3393209147570815e-08,2.4753965988111304e-08,4.5155530870033544e-08,1.770025725988944e-08,1.7473624325248238e-08,3.085307298533735e-08,1.5697118271873478e-08,2.0344655737858375e-08,7.885781805327952e-09
ароматичный,3.3677722832692325e-09,9.343435358744046e-09,2.380865504747476e-09,8.079470981137149e-10,9.27227805647135e-09,7.454626249625562e-09,3.9860488243448344e-09,6.45196429616135e-09,7.33278415765426e-09,8.911698934355172e-09,3.536281045768419e-09,1.1883035000437303e-08,7.743862440179328e-09,7.644710642296104e-09,1.9283170615835843e-09,1.0651616477730386e-08,7.960952785879272e-09,5.257187574159161e-09
ароматность,8.419430708173081e-10,2.5482096432938306e-09,2.380865504747476e-09,1.6158941962274298e-09,3.863449116181528e-09,1.4909252499251124e-08,9.965122060862086e-10,5.161571614564764e-09,2.4442614598996215e-09,2.227924733588793e-09,1.1787603115820389e-09,1.1883034556348093e-09,3.3187981252069676e-09,1.0921015203280149e-09,5.784951184750753e-09,2.2424455625724704e-09,2.6536508546115556e-09,1.7523958950604879e-09
ароматный,3.334094458296022e-07,3.5674935361384996e-07,3.4205100973849767e-07,3.5549672361412377e-07,3.531192760419799e-07,3.9095371562325454e-07,3.5874438708560774e-07,3.5872923831448134e-07,3.9352610770038154e-07,4.2330569272053253e-07,3.866333884161577e-07,4.0402318290944095e-07,3.219234372409119e-07,3.8005131841600814e-07,3.258855940657668e-07,7.259917538249283e-07,4.122004213513719e-07,4.3547038330871146e-07
бархатистость,1.8522747780025384e-08,3.3976128577251075e-08,2.698314283122727e-08,1.6966888338743047e-08,2.2408006117302648e-08,1.9879003332334833e-08,2.98953679589431e-08,3.225982325716359e-08,3.055326658341073e-08,3.564679573742069e-08,2.7111486389230777e-08,3.327249586959624e-08,2.212532201895101e-08,2.4026233447216327e-08,3.085307298533735e-08,5.6061139730445575e-08,3.715111063229415e-08,3.329552100694855e-08
бархатистый,9.934927902577328e-08,9.76813723241321e-08,7.936218082704727e-08,7.998676210263511e-08,9.658623412178713e-08,9.93950095562468e-08,7.274539370882849e-08,6.451964651432718e-08,6.843931998901098e-08,6.238189342866463e-08,7.897693876657286e-08,8.318124145034744e-08,8.62887574726301e-08,6.44339905875313e-08,6.459862333940691e-08,1.2277389771497838e-07,7.43022212645883e-08,8.674359719407221e-08
бархатность,3.3677722832692325e-09,1.6988064288625537e-09,3.174487339663301e-09,3.2317883924548596e-09,1.5453797130859925e-09,3.313167074026069e-09,3.9860488243448344e-09,0.0,3.66639207882713e-09,2.227924733588793e-09,1.1787603115820389e-09,5.9415175002186515e-09,5.5313305047377526e-09,7.644710642296104e-09,1.9283170615835843e-09,3.363668454881008e-09,4.422751498367461e-09,0.0
бархатный,4.3360068957554176e-07,5.164371259525069e-07,4.595070492996456e-07,5.704106342818704e-07,5.996073468850227e-07,6.767143645447504e-07,5.670154337167332e-07,6.645523171755485e-07,7.552768011009903e-07,7.797736429893121e-07,7.01362409927242e-07,6.595084300897724e-07,6.858849701529834e-07,6.42155669083877e-07,6.999790684858453e-07,1.0674041277525248e-06,7.624823297192052e-07,7.342538879129279e-07
без ума,4.5788036118210584e-07,5.611745450551098e-07,4.997755809199589e-07,6.02029331275844e-07,5.896028483221016e-07,6.067037929824437e-07,5.885855216547498e-07,6.559997132171702e-07,7.529105232606526e-07,8.607040626884555e-07,7.577550036330649e-07,8.010936767277599e-07,7.272651032508293e-07,7.970024284986721e-07,6.971808943490032e-07,1.2464273595469422e-06,7.858590151954559e-07,6.870567403893801e-07
белоснежность,1.2629145729192714e-08,8.494032144312769e-09,6.348974679326602e-09,1.1311259484614311e-08,1.0044968412614708e-08,9.111209564593992e-09,1.2954658679120712e-08,1.4194322162097706e-08,1.466556831530852e-08,1.5595473357166156e-08,1.4145124183073676e-08,1.5447945145297126e-08,1.5487724880358655e-08,1.0921015203280149e-08,1.831901208504405e-08,2.1863844068548133e-08,8.845502996734922e-09,1.4895364941480693e-08
белоснежный,2.8457677103688184e-07,3.618457640186534e-07,3.571298350379948e-07,3.482251997866115e-07,3.6393691971170483e-07,3.3462987403254374e-07,3.4080716204698547e-07,3.1872704653324035e-07,3.8497117316182994e-07,3.5312606883053377e-07,4.1138736150969635e-07,3.945167463825783e-07,3.805555195413035e-07,4.1390646288164135e-07,3.702368758240482e-07,6.604002464882797e-07,3.77702974674321e-07,4.275846094969893e-07
благоговейность,5.051658646948454e-09,1.6988064288625537e-09,2.380865504747476e-09,3.2317883924548596e-09,4.636139028235675e-09,1.0767792879562421e-08,5.979073236517252e-09,6.45196429616135e-09,8.554914998626373e-09,2.227924733588793e-09,3.536281045768419e-09,1.1883035000437303e-08,8.85012862994472e-09,9.828913682952134e-09,4.820792653958961e-09,3.9242795679683695e-09,1.2383703840157523e-08,4.380989793162371e-09
