word,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
авторитет,1.3705991477763746e-05,1.3366208804654889e-05,1.4732795534655452e-05,1.5149816135817673e-05,1.604876888450235e-05,1.4872806787025183e-05,1.4411559277505148e-05,1.4091090633883141e-05,1.503587463957956e-05,1.4197450582287274e-05,1.572112705616746e-05,1.5224543858494144e-05,1.5776460713823326e-05,1.584639358043205e-05,1.5721569070592523e-05,1.3792161553283222e-05,1.584406527399551e-05,1.5478912246180698e-05
авторитетность,1.3386895147959876e-07,1.6138660896558576e-07,1.5554988408439385e-07,2.0279472323636583e-07,2.0167205150301015e-07,2.1701244179439527e-07,2.282013014109907e-07,2.3614190070020413e-07,2.4075976057247317e-07,2.539834156323195e-07,2.1689189111384621e-07,2.768747151549178e-07,3.0754196700399916e-07,2.8176219757369836e-07,2.5743031528691063e-07,2.388204620729084e-07,3.5470466741571727e-07,3.136788677693403e-07
авторитетный,6.811319508415181e-07,6.574380790880241e-07,7.18227738616406e-07,9.315630222772597e-07,9.712711062093149e-07,8.572819751861971e-07,8.898854275685153e-07,8.877902928361436e-07,1.0107021353178425e-06,9.98110294858634e-07,1.069135578291025e-06,1.0825444860529387e-06,1.2733122503050254e-06,1.4099030067882268e-06,1.3498219004759449e-06,1.0802981478263973e-06,1.2861361256000237e-06,1.2845061974076089e-06
адаптационный,8.082653835117526e-08,1.1042241965242283e-07,1.603116146497996e-07,1.1472848626681298e-07,1.0508581738122302e-07,1.7891102288558614e-07,1.5944195297379338e-07,1.9613972312981787e-07,1.8209748020581173e-07,1.8825963365998177e-07,1.720990070452899e-07,1.5566774891340174e-07,1.6262112012555008e-07,2.4790705310806516e-07,1.9668834738695296e-07,1.6369853028663783e-07,2.246757730972604e-07,2.6461177071723796e-07
адаптация,2.311975777047337e-06,3.0960748063080246e-06,2.887196160372696e-06,2.8552849471452646e-06,2.5637848466431024e-06,2.6762106699607102e-06,2.8789238513127202e-06,2.834993210854009e-06,2.73146224571974e-06,2.6545724267634796e-06,2.5355134312121663e-06,3.119296479781042e-06,2.9658992843906162e-06,3.119042048638221e-06,3.2704256227589212e-06,2.304673444086802e-06,3.3232554415008053e-06,3.411914804019034e-06
адаптивность,1.8017581737694854e-07,2.1744722289440688e-07,2.436418924389727e-07,2.625828017244203e-07,2.086262611555867e-07,2.725080037180305e-07,3.6472346209848183e-07,2.5162660222122213e-07,2.676466408502165e-07,2.729207722040883e-07,1.6620519716070703e-07,2.9826415470779466e-07,2.8209785796207143e-07,2.4026232381402224e-07,2.9792499844916165e-07,2.382598438543937e-07,2.388285622600961e-07,3.0053590194256685e-07
адаптивный,5.447371904665488e-07,6.073232725611888e-07,5.737886112910928e-07,5.663709430336894e-07,5.988346174490289e-07,5.508140361598635e-07,6.27802705821523e-07,5.561593638958584e-07,5.499588269231026e-07,4.7677588099759305e-07,3.8781215039307426e-07,3.255951526170975e-07,2.8431037435439066e-07,3.582092915621615e-07,3.8469926266770926e-07,1.8331992635012284e-07,2.9809345392095565e-07,2.952787099275156e-07
адаптироваться,6.777641488042718e-07,7.585170465063129e-07,8.690159347679582e-07,8.434967639914248e-07,9.959971976059023e-07,1.172861175291473e-06,1.3532635421142913e-06,1.3613645251098205e-06,1.5459953601748566e-06,1.5350401554314885e-06,1.9284518657514127e-06,2.1710304736188846e-06,1.9691535726451548e-06,2.23116330744233e-06,2.1037938040535664e-06,1.7250011978831026e-06,2.2458730200014543e-06,2.3376960598398e-06
адекватность,1.36142193696287e-06,1.509389562670549e-06,1.4475662055701832e-06,1.412291567248758e-06,1.3282539157444262e-06,1.427975007572968e-06,1.3652216921400395e-06,1.272327381229843e-06,1.0913627193076536e-06,9.680333050710033e-07,1.010197593132034e-06,1.1383947366994107e-06,1.1140099331896636e-06,1.1008382898580749e-06,1.1608468639678904e-06,8.885690476745367e-07,1.1870664593516267e-06,1.2135341194152716e-06
адекватный,6.676608563793707e-07,8.714877139937016e-07,8.031452694012842e-07,9.049007303474355e-07,9.055925147549715e-07,9.003531431517331e-07,9.347284617433615e-07,9.226309316545667e-07,9.129316822509281e-07,8.2433217585276e-07,9.771922577783698e-07,1.0290707450621994e-06,1.0653342314981273e-06,1.0080096899400814e-06,1.0866066304515698e-06,9.160390277429542e-07,1.2817133665521396e-06,1.2214198932269937e-06
