,sentiment,year,count
0,negative,1985,0.004963164719062994
1,negative,1986,0.005043631340641393
2,negative,1987,0.005096436005568569
3,negative,1988,0.005341872705656555
4,negative,1989,0.005616178903032641
5,negative,1990,0.0057498903791686285
6,negative,1991,0.005897967132927
7,negative,1992,0.005828992966378149
8,negative,1993,0.006150657859819967
9,negative,1994,0.006138633706113327
10,negative,1995,0.006054904509153728
11,negative,1996,0.005960113960351558
12,negative,1997,0.0059231012483149225
13,negative,1998,0.005850351256044203
14,negative,1999,0.005829981054643918
15,negative,2000,0.006760801295920918
16,negative,2001,0.005881204583988332
17,negative,2002,0.005877218114249842
18,positive,1985,0.005903530325980704
19,positive,1986,0.005938930677144075
20,positive,1987,0.0058888397016908485
21,positive,1988,0.005999574188556645
22,positive,1989,0.006023919373909723
23,positive,1990,0.005916849990602454
24,positive,1991,0.0059108934685472864
25,positive,1992,0.005887779328239581
26,positive,1993,0.006140442171432016
27,positive,1994,0.006138950256328018
28,positive,1995,0.006127955578275065
29,positive,1996,0.006127125556807419
30,positive,1997,0.0061466737674348276
31,positive,1998,0.00607867565011322
32,positive,1999,0.006059203973518866
33,positive,2000,0.006463180485140347
34,positive,2001,0.006187094452636127
35,positive,2002,0.006130458319878542
