"INDICATOR","EPW_30"

"EPW_30","Medical doctors  per 10 000 population"

"UNIT_TYPE","Unit"
"PROFESS_10K","Persons per 10 000 population"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"EPW","Indicators for European Programme of Work"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"EPW","European Programme of Work, 2020 – 2025"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1989","13.71"
"ALB","","ALL","1990","13.74"
"ALB","","ALL","1991","14.61"
"ALB","","ALL","1992","16.22"
"ALB","","ALL","1993","14.13"
"ALB","","ALL","1994","13.45"
"ALB","","ALL","1995","13.63"
"ALB","","ALL","1996","13.81"
"ALB","","ALL","1997","13.89"
"ALB","","ALL","1998","13.9"
"ALB","","ALL","2000","13.82"
"ALB","","ALL","2001","13.1"
"ALB","","ALL","2002","11.69"
"ALB","","ALL","2003","11.86"
"ALB","","ALL","2004","11.91"
"ALB","","ALL","2006","11.84"
"ALB","","ALL","2007","11.95"
"ALB","","ALL","2009","12.3"
"ALB","","ALL","2010","12.35"
"ALB","","ALL","2011","12.22"
"ALB","","ALL","2012","12.68"
"ALB","","ALL","2013","12.77"
"ALB","","ALL","2016","12.16"
"ALB","","ALL","2018","21.58"
"ALB","","ALL","2019","16.47"
"ALB","","ALL","2020","18.75"
"AND","","ALL","1995","22.39"
"AND","","ALL","1997","24.57"
"AND","","ALL","1998","25.26"
"AND","","ALL","2000","25.69"
"AND","","ALL","2001","25.99"
"AND","","ALL","2002","28.98"
"AND","","ALL","2003","33.34"
"AND","","ALL","2004","31.34"
"AND","","ALL","2005","32.33"
"AND","","ALL","2006","30.13"
"AND","","ALL","2007","30.12"
"AND","","ALL","2009","31.49"
"AND","","ALL","2015","33.34"
"ARM","","ALL","2000","27.01"
"ARM","","ALL","2001","26.19"
"ARM","","ALL","2002","25.63"
"ARM","","ALL","2003","24.56"
"ARM","","ALL","2004","24.6"
"ARM","","ALL","2005","25.64"
"ARM","","ALL","2006","25.9"
"ARM","","ALL","2007","26.72"
