"INDICATOR","EPW_23"

"EPW_23","Prevalence of overweight (%)"

"UNIT_TYPE","Unit"
"PERCENT","%"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"EPW","Indicators for European Programme of Work"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"EPW","European Programme of Work, 2020 – 2025"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1975","33.3"
"ALB","","ALL","1976","33.8"
"ALB","","ALL","1977","34.2"
"ALB","","ALL","1978","34.7"
"ALB","","ALL","1979","35.1"
"ALB","","ALL","1980","35.6"
"ALB","","ALL","1981","36.1"
"ALB","","ALL","1982","36.5"
"ALB","","ALL","1983","37"
"ALB","","ALL","1984","37.5"
"ALB","","ALL","1985","38"
"ALB","","ALL","1986","38.5"
"ALB","","ALL","1987","39"
"ALB","","ALL","1988","39.5"
"ALB","","ALL","1989","40"
"ALB","","ALL","1990","40.5"
"ALB","","ALL","1991","41"
"ALB","","ALL","1992","41.5"
"ALB","","ALL","1993","42"
"ALB","","ALL","1994","42.5"
"ALB","","ALL","1995","43.1"
"ALB","","ALL","1996","43.6"
"ALB","","ALL","1997","44.2"
"ALB","","ALL","1998","44.8"
"ALB","","ALL","1999","45.4"
"ALB","","ALL","2000","46"
"ALB","","ALL","2001","46.6"
"ALB","","ALL","2002","47.3"
"ALB","","ALL","2003","48"
"ALB","","ALL","2004","48.7"
"ALB","","ALL","2005","49.5"
"ALB","","ALL","2006","50.2"
"ALB","","ALL","2007","51"
"ALB","","ALL","2008","51.8"
"ALB","","ALL","2009","52.5"
"ALB","","ALL","2010","53.3"
"ALB","","ALL","2011","54"
"ALB","","ALL","2012","54.8"
"ALB","","ALL","2013","55.5"
"ALB","","ALL","2014","56.3"
"ALB","","ALL","2015","57"
"ALB","","ALL","2016","57.7"
"AND","","ALL","1975","46.1"
"AND","","ALL","1976","47"
"AND","","ALL","1977","47.9"
"AND","","ALL","1978","48.8"
"AND","","ALL","1979","49.6"
"AND","","ALL","1980","50.4"
"AND","","ALL","1981","51.1"
"AND","","ALL","1982","51.9"
"AND","","ALL","1983","52.6"
"AND","","ALL","1984","53.2"
"AND","","ALL","1985","53.9"
"AND","","ALL","1986","54.5"
"AND","","ALL","1987","55"
"AND","","ALL","1988","55.5"
"AND","","ALL","1989","56"
"AND","","ALL","1990","56.4"
"AND","","ALL","1991","56.8"
"AND","","ALL","1992","57.2"
"AND","","ALL","1993","57.5"
"AND","","ALL","1994","57.9"
"AND","","ALL","1995","58.3"
"AND","","ALL","1996","58.6"
"AND","","ALL","1997","58.9"
"AND","","ALL","1998","59.3"
"AND","","ALL","1999","59.6"
"AND","","ALL","2000","59.9"
"AND","","ALL","2001","60.2"
"AND","","ALL","2002","60.5"
"AND","","ALL","2003","60.8"
"AND","","ALL","2004","61.1"
"AND","","ALL","2005","61.3"
"AND","","ALL","2006","61.6"
"AND","","ALL","2007","61.8"
"AND","","ALL","2008","62"
"AND","","ALL","2009","62.2"
"AND","","ALL","2010","62.5"
"AND","","ALL","2011","62.7"
"AND","","ALL","2012","62.9"
"AND","","ALL","2013","63.1"
"AND","","ALL","2014","63.3"
"AND","","ALL","2015","63.5"
"AND","","ALL","2016","63.7"
"ARM","","ALL","1975","33.9"
"ARM","","ALL","1976","34.6"
"ARM","","ALL","1977","35.2"
"ARM","","ALL","1978","35.9"
"ARM","","ALL","1979","36.5"
"ARM","","ALL","1980","37.1"
"ARM","","ALL","1981","37.7"
"ARM","","ALL","1982","38.3"
"ARM","","ALL","1983","38.9"
"ARM","","ALL","1984","39.4"
"ARM","","ALL","1985","39.9"
"ARM","","ALL","1986","40.4"
"ARM","","ALL","1987","40.9"
"ARM","","ALL","1988","41.4"
"ARM","","ALL","1989","41.9"
"ARM","","ALL","1990","42.4"
"ARM","","ALL","1991","42.9"
"ARM","","ALL","1992","43.3"
"ARM","","ALL","1993","43.7"
"ARM","","ALL","1994","44.1"
"ARM","","ALL","1995","44.6"
"ARM","","ALL","1996","45"
"ARM","","ALL","1997","45.4"
"ARM","","ALL","1998","45.7"
"ARM","","ALL","1999","46.1"
"ARM","","ALL","2000","46.5"
"ARM","","ALL","2001","47"
"ARM","","ALL","2002","47.4"
"ARM","","ALL","2003","47.8"
"ARM","","ALL","2004","48.3"
"ARM","","ALL","2005","48.8"
"ARM","","ALL","2006","49.3"
"ARM","","ALL","2007","49.8"
"ARM","","ALL","2008","50.3"
"ARM","","ALL","2009","50.8"
"ARM","","ALL","2010","51.3"
"ARM","","ALL","2011","51.8"
"ARM","","ALL","2012","52.3"
"ARM","","ALL","2013","52.8"
"ARM","","ALL","2014","53.4"
"ARM","","ALL","2015","53.9"
"ARM","","ALL","2016","54.4"
"AUT","","ALL","1975","34.7"
"AUT","","ALL","1976","35.1"
"AUT","","ALL","1977","35.6"
"AUT","","ALL","1978","36.1"
"AUT","","ALL","1979","36.6"
"AUT","","ALL","1980","37.1"
"AUT","","ALL","1981","37.6"
"AUT","","ALL","1982","38.1"
"AUT","","ALL","1983","38.6"
"AUT","","ALL","1984","39.1"
"AUT","","ALL","1985","39.7"
"AUT","","ALL","1986","40.2"
"AUT","","ALL","1987","40.7"
"AUT","","ALL","1988","41.3"
"AUT","","ALL","1989","41.8"
"AUT","","ALL","1990","42.4"
"AUT","","ALL","1991","42.9"
"AUT","","ALL","1992","43.4"
"AUT","","ALL","1993","44"
"AUT","","ALL","1994","44.5"
"AUT","","ALL","1995","45"
"AUT","","ALL","1996","45.5"
"AUT","","ALL","1997","46"
"AUT","","ALL","1998","46.5"
"AUT","","ALL","1999","47"
"AUT","","ALL","2000","47.5"
"AUT","","ALL","2001","47.9"
"AUT","","ALL","2002","48.4"
"AUT","","ALL","2003","48.8"
"AUT","","ALL","2004","49.3"
"AUT","","ALL","2005","49.7"
"AUT","","ALL","2006","50.2"
"AUT","","ALL","2007","50.6"
"AUT","","ALL","2008","51"
"AUT","","ALL","2009","51.4"
"AUT","","ALL","2010","51.8"
"AUT","","ALL","2011","52.2"
"AUT","","ALL","2012","52.6"
"AUT","","ALL","2013","53"
