"INDICATOR","HFA_426"

"HFA_426","Pure alcohol consumption, litres per capita, age 15+"

"UNIT_TYPE","Unit"
"LITRES_PCAPITA","litres per capita"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1962","1.17"
"ALB","","ALL","1963","0.91"
"ALB","","ALL","1964","1.04"
"ALB","","ALL","1965","1.04"
"ALB","","ALL","1966","1.03"
"ALB","","ALL","1967","1.17"
"ALB","","ALL","1968","1.44"
"ALB","","ALL","1969","1.73"
"ALB","","ALL","1970","1.77"
"ALB","","ALL","1971","1.2"
"ALB","","ALL","1972","1.56"
"ALB","","ALL","1973","1.59"
"ALB","","ALL","1974","1.58"
"ALB","","ALL","1975","1.35"
"ALB","","ALL","1976","1.33"
"ALB","","ALL","1977","1.37"
"ALB","","ALL","1978","1.65"
"ALB","","ALL","1979","1.4"
"ALB","","ALL","1980","1.79"
"ALB","","ALL","1981","1.84"
"ALB","","ALL","1982","1.51"
"ALB","","ALL","1983","1.68"
"ALB","","ALL","1984","1.58"
"ALB","","ALL","1985","1.6"
"ALB","","ALL","1986","1.39"
"ALB","","ALL","1987","1.63"
"ALB","","ALL","1988","1.67"
"ALB","","ALL","1989","1.73"
"ALB","","ALL","1990","2.03"
"ALB","","ALL","1991","1.28"
"ALB","","ALL","1992","1.35"
"ALB","","ALL","1993","1.49"
"ALB","","ALL","1994","2.77"
"ALB","","ALL","1995","2.87"
"ALB","","ALL","1996","3.12"
"ALB","","ALL","1997","2.22"
"ALB","","ALL","1998","1.54"
"ALB","","ALL","1999","2.19"
"ALB","","ALL","2000","3.92"
"ALB","","ALL","2001","4.51"
"ALB","","ALL","2002","3.96"
"ALB","","ALL","2003","4.33"
"ALB","","ALL","2004","4.42"
"ALB","","ALL","2005","4.98"
"ALB","","ALL","2006","5.17"
"ALB","","ALL","2007","5.46"
"ALB","","ALL","2008","5.56"
"ALB","","ALL","2009","5.79"
"ALB","","ALL","2010","4.88"
"ALB","","ALL","2011","5.03"
"ALB","","ALL","2012","4.43"
"ALB","","ALL","2013","4.28"
"ALB","","ALL","2014","4.1"
"ALB","","ALL","2015","4.33"
"ALB","","ALL","2016","4.38"
"ALB","","ALL","2017","4.39"
"ALB","","ALL","2018","4.44"
"ALB","","ALL","2019","4.4"
"AND","","ALL","2000","12.77"
"AND","","ALL","2001","13.08"
"AND","","ALL","2002","12.16"
"AND","","ALL","2003","12.25"
"AND","","ALL","2004","12.23"
"AND","","ALL","2005","11.82"
"AND","","ALL","2006","11.89"
"AND","","ALL","2007","11.53"
"AND","","ALL","2008","10.96"
"AND","","ALL","2009","10.86"
"AND","","ALL","2010","10.53"
"AND","","ALL","2011","10.46"
"AND","","ALL","2012","10.33"
"AND","","ALL","2013","10.06"
"AND","","ALL","2014","9.88"
"AND","","ALL","2015","11.02"
"AND","","ALL","2016","11.18"
"AND","","ALL","2017","11.18"
"AND","","ALL","2018","10.72"
"AND","","ALL","2019","10.99"
"ARM","","ALL","1990","3.18"
"ARM","","ALL","1991","2.98"
"ARM","","ALL","1992","2.52"
"ARM","","ALL","1993","2.71"
"ARM","","ALL","1994","4.34"
"ARM","","ALL","1995","2.98"
"ARM","","ALL","1996","2.92"
"ARM","","ALL","1997","2.84"
"ARM","","ALL","1998","1.9"
"ARM","","ALL","1999","2.16"
"ARM","","ALL","2000","2.91"
"ARM","","ALL","2001","2.87"
"ARM","","ALL","2002","2.87"
"ARM","","ALL","2003","3"
"ARM","","ALL","2004","3.73"
"ARM","","ALL","2005","4.17"
"ARM","","ALL","2006","3.99"
"ARM","","ALL","2007","3.91"
"ARM","","ALL","2008","3.96"
"ARM","","ALL","2009","3.97"
"ARM","","ALL","2010","4.23"
"ARM","","ALL","2011","4.07"
"ARM","","ALL","2012","3.89"
"ARM","","ALL","2013","3.92"
"ARM","","ALL","2014","4.22"
"ARM","","ALL","2015","4.04"
"ARM","","ALL","2016","3.83"
"ARM","","ALL","2017","3.83"
"ARM","","ALL","2018","3.69"
"ARM","","ALL","2019","3.77"
"AUT","","ALL","1960","8.91"
"AUT","","ALL","1961","9.31"
"AUT","","ALL","1962","9.7"
"AUT","","ALL","1963","9.8"
"AUT","","ALL","1964","10.7"
"AUT","","ALL","1965","11.6"
"AUT","","ALL","1966","12.4"
"AUT","","ALL","1967","13.1"
"AUT","","ALL","1968","13.2"
"AUT","","ALL","1969","13"
"AUT","","ALL","1970","13.4"
"AUT","","ALL","1971","13.6"
"AUT","","ALL","1972","14.2"
"AUT","","ALL","1973","14.6"
"AUT","","ALL","1974","14.5"
"AUT","","ALL","1975","14.1"
"AUT","","ALL","1976","14.3"
"AUT","","ALL","1977","14.2"
"AUT","","ALL","1978","14"
"AUT","","ALL","1979","13.4"
"AUT","","ALL","1980","13.6"
"AUT","","ALL","1981","13.5"
"AUT","","ALL","1982","13.5"
"AUT","","ALL","1983","14"
"AUT","","ALL","1984","13.9"
"AUT","","ALL","1985","13.3"
"AUT","","ALL","1986","13.6"
"AUT","","ALL","1987","13.5"
"AUT","","ALL","1988","13.7"
"AUT","","ALL","1989","13.9"
"AUT","","ALL","1990","13.9"
"AUT","","ALL","1991","14.1"
"AUT","","ALL","1992","13.6"
"AUT","","ALL","1993","13.5"
"AUT","","ALL","1994","12.5"
"AUT","","ALL","1995","13.4"
"AUT","","ALL","1996","13.5"
"AUT","","ALL","1997","12.9"
"AUT","","ALL","1998","12.9"
"AUT","","ALL","1999","12.8"
"AUT","","ALL","2000","13.35"
"AUT","","ALL","2001","12.35"
"AUT","","ALL","2002","12.09"
"AUT","","ALL","2003","12.31"
"AUT","","ALL","2004","12.17"
"AUT","","ALL","2005","12.14"
"AUT","","ALL","2006","12.58"
