"INDICATOR","EPW_19"

"EPW_19","Prevalence of raised blood pressure in adults aged greater or equal to 18 (%)"

"UNIT_TYPE","Unit"
"PERCENT","%"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"EPW","Indicators for European Programme of Work"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"EPW","European Programme of Work, 2020 – 2025"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1975","33.1"
"ALB","","ALL","1976","33"
"ALB","","ALL","1977","32.8"
"ALB","","ALL","1978","32.7"
"ALB","","ALL","1979","32.6"
"ALB","","ALL","1980","32.5"
"ALB","","ALL","1981","32.4"
"ALB","","ALL","1982","32.3"
"ALB","","ALL","1983","32.2"
"ALB","","ALL","1984","32.1"
"ALB","","ALL","1985","32"
"ALB","","ALL","1986","31.9"
"ALB","","ALL","1987","31.8"
"ALB","","ALL","1988","31.7"
"ALB","","ALL","1989","31.7"
"ALB","","ALL","1990","31.6"
"ALB","","ALL","1991","31.5"
"ALB","","ALL","1992","31.5"
"ALB","","ALL","1993","31.4"
"ALB","","ALL","1994","31.4"
"ALB","","ALL","1995","31.4"
"ALB","","ALL","1996","31.4"
"ALB","","ALL","1997","31.4"
"ALB","","ALL","1998","31.3"
"ALB","","ALL","1999","31.3"
"ALB","","ALL","2000","31.2"
"ALB","","ALL","2001","31.1"
"ALB","","ALL","2002","31.1"
"ALB","","ALL","2003","31"
"ALB","","ALL","2004","30.9"
"ALB","","ALL","2005","30.8"
"ALB","","ALL","2006","30.6"
"ALB","","ALL","2007","30.5"
"ALB","","ALL","2008","30.4"
"ALB","","ALL","2009","30.2"
"ALB","","ALL","2010","30.1"
"ALB","","ALL","2011","29.9"
"ALB","","ALL","2012","29.7"
"ALB","","ALL","2013","29.5"
"ALB","","ALL","2014","29.2"
"ALB","","ALL","2015","29"
"AND","","ALL","1975","37.9"
"AND","","ALL","1976","37.9"
"AND","","ALL","1977","37.7"
"AND","","ALL","1978","37.6"
"AND","","ALL","1979","37.4"
"AND","","ALL","1980","37.1"
"AND","","ALL","1981","36.8"
"AND","","ALL","1982","36.5"
"AND","","ALL","1983","36.1"
"AND","","ALL","1984","35.7"
"AND","","ALL","1985","35.2"
"AND","","ALL","1986","34.8"
"AND","","ALL","1987","34.2"
"AND","","ALL","1988","33.7"
"AND","","ALL","1989","33.2"
"AND","","ALL","1990","32.6"
"AND","","ALL","1991","32"
"AND","","ALL","1992","31.4"
"AND","","ALL","1993","30.8"
"AND","","ALL","1994","30.3"
"AND","","ALL","1995","29.7"
"AND","","ALL","1996","29.1"
"AND","","ALL","1997","28.5"
"AND","","ALL","1998","27.9"
"AND","","ALL","1999","27.3"
"AND","","ALL","2000","26.7"
"AND","","ALL","2001","26.2"
"AND","","ALL","2002","25.6"
"AND","","ALL","2003","25.1"
"AND","","ALL","2004","24.5"
"AND","","ALL","2005","23.9"
"AND","","ALL","2006","23.4"
"AND","","ALL","2007","22.8"
"AND","","ALL","2008","22.2"
"AND","","ALL","2009","21.7"
"AND","","ALL","2010","21.1"
"AND","","ALL","2011","20.6"
"AND","","ALL","2012","20.1"
"AND","","ALL","2013","19.6"
"AND","","ALL","2014","19.2"
"AND","","ALL","2015","18.7"
"ARM","","ALL","1975","35.4"
"ARM","","ALL","1976","35.2"
